Wavelength (nm),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
200.7357,,,5.045e-4
200.7586,,,1.781e-4
201.0801,,,8.013e-4
209.7301,,,1.535e-3
209.9856,,,8.482e-4
210.3625,,,1.900e-4
210.4852,,,2.276e-4
210.5104,,,3.517e-4
219.9216,,,1.048e-3
223.7762,,,1.271e-3
226.40181,1.819e+2,,
227.67016,7.426e+2,,
227.9967,7.353e+2,,
229.98591,4.305e+2,,
230.273678,4.897e+2,,
230.56742,5.611e+2,,
233.1346,,,2.789e-1
233.1655,,,2.337e-1
233.434,,,2.469e-1
233.8999,,,5.842e-1
234.6783,,,1.058e+0
237.499,,,5.159e-1
238.45193,9.288e+1,,
241.3987,,,1.261e+0
241.83617,1.018e+2,,
242.13047,1.517e+2,,
242.42502,2.491e+2,,
242.82157,9.368e+1,,
244.016464,,1.015e+3,
244.09841,1.343e+2,,
245.043467,,1.351e+3,
251.6066,,,2.966e+0
251.743139,,1.262e+3,
251.90245,6.350e+1,,
252.05415,2.462e+2,,
252.463894,,1.600e+3,
252.5603,,1.023e+4,
252.7985,1.020e+2,,
252.974783,,9.941e+2,
252.98707,4.090e+2,,
253.125172,,7.232e+3,
253.46194,,3.921e+3,
253.587019,,3.274e+3,
254.19177,6.452e+2,,
255.598614,,5.274e+3,
256.7556,,,7.903e-1
257.103221,,2.581e+3,
257.6463,,,3.161e-1
259.02538,8.088e+1,,
259.36407,1.226e+2,,
259.65865,1.547e+2,,
259.99146,8.616e+2,,
260.51403,1.137e+3,,
261.12878,1.435e+3,,
261.14701,4.244e+2,,
261.99389,3.730e+2,,
263.15336,3.192e+2,,
263.24164,3.718e+2,,
263.544765,,4.243e+2,
263.85639,,5.631e+2,
264.10953,1.514e+3,,
264.202702,,8.265e+2,
264.42632,1.928e+3,,
264.586532,,1.440e+3,
264.66344,2.817e+3,,
265.71879,6.492e+1,,
266.19653,1.823e+2,,
266.95929,2.610e+2,,
267.99208,4.104e+2,,
271.729709,,5.209e+2,
273.32525,9.264e+2,,
273.52863,4.078e+2,,
274.65423,,1.373e+3,
275.160617,,2.368e+3,
275.268469,,5.868e+2,
275.749927,,3.132e+2,
275.82567,,3.279e+2,
275.879645,,9.826e+1,
276.128656,,7.236e+2,
276.415711,,1.653e+2,
276.481497,,1.181e+3,
280.481965,,3.444e+3,
281.022863,,4.689e+3,
