Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
199.51,2.405e-28,,,,,2.405e-28,,,
199.52,2.133e-27,,,,,2.133e-27,,,
199.54,1.080e-21,,,,1.079e-21,1.465e-25,,,
199.56,8.867e-20,,,,8.866e-20,8.408e-24,,,
199.57,7.511e-19,,,,7.511e-19,5.954e-23,,,
199.59,4.710e-17,,,,4.710e-17,2.608e-21,,,
199.61,2.467e-15,,,,2.467e-15,9.544e-20,,,
199.62,1.669e-14,,,,1.669e-14,5.396e-19,,,
199.64,6.674e-13,,,,6.673e-13,1.507e-17,,,
199.65,3.945e-12,,,,3.945e-12,7.447e-17,,,
199.67,1.204e-10,,,,1.204e-10,1.588e-15,,,
199.69,3.071e-9,,,,3.071e-9,2.829e-14,,,
199.7,1.450e-8,,,,1.450e-8,1.116e-13,,,
199.72,2.823e-7,,,,2.823e-7,1.517e-12,,,
199.74,4.591e-6,,,,4.591e-6,1.723e-11,,,
199.75,1.731e-5,,,,1.731e-5,5.429e-11,,,
199.77,2.149e-4,,,,2.149e-4,4.707e-10,,,
199.79,2.229e-3,,,,2.229e-3,3.409e-9,,,
199.8,6.710e-3,,,,6.710e-3,8.574e-9,,,
199.82,5.313e-2,,,,5.313e-2,4.740e-8,,,
199.84,3.515e-1,,,,3.515e-1,2.189e-7,,,
199.85,8.449e-1,,,,8.449e-1,4.397e-7,,,
199.87,4.267e+0,,,,4.267e+0,1.550e-6,,,
199.89,1.800e+1,,,,1.800e+1,4.567e-6,,,
199.9,3.456e+1,,,,3.456e+1,7.328e-6,,,
199.92,1.113e+2,,,,1.113e+2,1.650e-5,,,
199.94,2.994e+2,,,,2.994e+2,3.116e-5,,,
199.95,4.590e+2,,,,4.590e+2,4.015e-5,,,
199.97,9.428e+2,,,,9.428e+2,5.915e-5,,,
199.99,1.618e+3,,,,1.618e+3,7.653e-5,,,
200,1.980e+3,,,,1.980e+3,8.465e-5,,,
200.02,2.594e+3,,,,2.594e+3,1.048e-4,,,
200.03,2.775e+3,,,,2.775e+3,1.205e-4,,,
200.05,2.775e+3,,,,2.775e+3,1.727e-4,,,
200.07,2.318e+3,,,,2.318e+3,2.569e-4,,,
200.08,1.980e+3,,,,1.980e+3,3.071e-4,,,
200.1,1.263e+3,,,,1.263e+3,4.034e-4,,,
200.12,6.728e+2,,,,6.728e+2,4.617e-4,,,
200.13,4.590e+2,,,,4.590e+2,4.676e-4,,,
200.15,1.867e+2,,,,1.867e+2,4.314e-4,,,
200.17,6.343e+1,,,,6.343e+1,3.497e-4,,,
200.18,3.456e+1,,,,3.456e+1,3.025e-4,,,
200.2,8.963e+0,,,,8.963e+0,2.168e-4,1.460e-22,,
200.22,1.942e+0,,,,1.942e+0,1.663e-4,1.165e-20,,
200.23,8.451e-1,,,,8.449e-1,1.624e-4,9.729e-20,,
200.25,1.400e-1,,,,1.398e-1,2.148e-4,5.937e-18,,
200.27,1.968e-2,,,,1.931e-2,3.712e-4,3.030e-16,,
200.28,7.203e-3,,,,6.710e-3,4.927e-4,2.024e-15,,
200.3,1.512e-3,,,,7.078e-4,8.044e-4,7.900e-14,,
200.32,1.195e-3,,,,6.237e-5,1.132e-3,2.579e-12,,
200.33,1.279e-3,,,,1.731e-5,1.262e-3,1.378e-11,,
200.35,1.378e-3,,,,1.165e-6,1.377e-3,3.439e-10,,
200.37,1.265e-3,,,,7.237e-8,1.265e-3,7.181e-9,,
200.38,1.141e-3,,,,4.418e-8,1.141e-3,3.068e-8,,
200.4,8.420e-4,,,,4.745e-7,8.410e-4,4.900e-7,,
