Wavelength (nm),Sum(calc),Cr I (1.6e-2),Cr II (1.6e-1),Fe I (1.1e-1),Fe II (5.9e-1),Fe III (7.9e-5),Ni I (2.7e-2),Ni II (8.6e-2),Ni III (2.9e-6),Mo I (1.4e-3)
199.28,1.400e-27,,,,,1.400e-27,,,,
199.3,2.397e-26,,,,,2.397e-26,,,,
199.32,5.822e-20,,,,5.822e-20,3.786e-25,,,,
199.35,3.995e-18,,,,3.995e-18,2.046e-23,,,,
199.37,6.058e-17,,,,6.058e-17,2.647e-22,,,,
199.4,3.079e-15,,,,3.079e-15,1.060e-20,,,,
199.42,3.823e-14,,,,3.823e-14,1.122e-19,,,,
199.45,1.440e-12,,,,1.440e-12,3.328e-18,,,,
199.47,1.464e-11,,,,1.464e-11,2.886e-17,,,,
199.5,4.085e-10,,,,4.085e-10,6.341e-16,,,,
199.52,3.400e-9,,,,3.400e-9,4.502e-15,,,,
199.55,7.030e-8,,,,7.030e-8,7.328e-14,,,,
199.57,4.792e-7,,,,4.792e-7,4.259e-13,,,,
199.6,7.339e-6,,,,7.339e-6,5.137e-12,,,,
199.62,4.096e-5,,,,4.096e-5,2.444e-11,,,,
199.65,4.648e-4,,,,4.648e-4,2.184e-10,,,,
199.67,2.124e-3,,,,2.124e-3,8.511e-10,,,,
199.69,8.960e-3,,,,8.960e-3,3.062e-9,,,,
199.72,6.682e-2,,,,6.682e-2,1.799e-8,,,,
199.74,2.308e-1,,,,2.308e-1,5.302e-8,,,,
199.77,1.275e+0,,,,1.275e+0,2.312e-7,,,,
199.79,3.607e+0,,,,3.607e+0,5.592e-7,,,,
199.82,1.477e+1,,,,1.477e+1,1.818e-6,,,,
199.84,3.419e+1,,,,3.419e+1,3.627e-6,,,,
199.87,1.037e+2,,,,1.037e+2,8.915e-6,,,,
199.89,1.966e+2,,,,1.966e+2,1.491e-5,,,,
199.92,4.419e+2,,,,4.419e+2,2.885e-5,,,,
199.94,6.860e+2,,,,6.860e+2,4.217e-5,,,,
199.97,1.142e+3,,,,1.142e+3,6.995e-5,2.205e-21,,,
