Wavelength (nm),Sum(calc),Al I (1.3e-1),Al II (8.7e-1),Al III (2.5e-5)
201.523,1.106e-63,,1.106e-63,
201.525,1.444e-60,,1.444e-60,
201.527,1.579e-57,,1.579e-57,
201.528,4.886e-56,,4.886e-56,
201.53,4.096e-53,,4.096e-53,
201.532,2.877e-50,,2.877e-50,
201.533,7.134e-49,,7.134e-49,
201.535,3.841e-46,,3.841e-46,
201.537,1.732e-43,,1.732e-43,
201.538,3.443e-42,,3.443e-42,
201.54,1.190e-39,,1.190e-39,
201.542,3.448e-37,,3.448e-37,
201.543,5.491e-36,,5.491e-36,
201.545,1.219e-33,,1.219e-33,
201.547,2.268e-31,,2.268e-31,
201.548,2.894e-30,,2.894e-30,
201.55,4.127e-28,,4.127e-28,
201.552,4.930e-26,,4.930e-26,
201.553,5.042e-25,,5.042e-25,
201.555,4.618e-23,,4.618e-23,
201.557,3.542e-21,,3.542e-21,
201.558,2.903e-20,,2.903e-20,
201.56,1.707e-18,,1.707e-18,
201.562,8.411e-17,,8.411e-17,
201.563,5.524e-16,,5.524e-16,
201.565,2.086e-14,,2.086e-14,
201.567,6.601e-13,,6.601e-13,
201.568,3.474e-12,,3.474e-12,
201.57,8.426e-11,,8.426e-11,
201.572,1.712e-9,,1.712e-9,
201.573,7.221e-9,,7.221e-9,
201.575,1.125e-7,,1.125e-7,
201.577,1.467e-6,,1.467e-6,
201.578,4.960e-6,,4.960e-6,
201.58,4.961e-5,,4.961e-5,
201.582,4.157e-4,,4.157e-4,
201.583,1.126e-3,,1.126e-3,
201.585,7.234e-3,,7.234e-3,
201.587,3.892e-2,,3.892e-2,
201.588,8.449e-2,,8.449e-2,
201.59,3.485e-1,,3.485e-1,
201.592,1.204e+0,,1.204e+0,
201.593,2.095e+0,,2.095e+0,
201.595,5.551e+0,,5.551e+0,
201.597,1.232e+1,,1.232e+1,
201.598,1.717e+1,,1.717e+1,
201.6,2.922e+1,,2.922e+1,
201.602,4.164e+1,,4.164e+1,
201.603,4.653e+1,,4.653e+1,
201.605,5.090e+1,,5.090e+1,
201.607,4.681e+1,,4.681e+1,
201.608,4.218e+1,,4.218e+1,
201.61,3.078e+1,,3.078e+1,
201.612,2.108e+1,,2.108e+1,
201.613,1.816e+1,,1.816e+1,
201.615,1.719e+1,,1.719e+1,
201.617,2.201e+1,,2.201e+1,
201.618,2.578e+1,,2.578e+1,
201.62,3.363e+1,,3.363e+1,
201.622,3.856e+1,,3.856e+1,
201.623,3.909e+1,,3.909e+1,
201.625,3.622e+1,,3.622e+1,
201.627,3.032e+1,,3.032e+1,
201.628,2.743e+1,,2.743e+1,
201.63,2.381e+1,,2.381e+1,
201.632,2.391e+1,,2.391e+1,
201.633,2.496e+1,,2.496e+1,
201.635,2.722e+1,,2.722e+1,
201.637,2.728e+1,,2.728e+1,
201.638,2.599e+1,,2.599e+1,
201.64,2.099e+1,,2.099e+1,
201.642,1.439e+1,,1.439e+1,
201.643,1.118e+1,,1.118e+1,
201.645,5.938e+0,,5.938e+0,
201.647,2.652e+0,,2.652e+0,
201.648,1.660e+0,,1.660e+0,
201.65,5.705e-1,,5.705e-1,
201.652,1.645e-1,,1.645e-1,
