Wavelength (nm),Sum(calc),Ca I (3.8e-2),Ca II (9.5e-1),Ca III (1.3e-2)
200.016,7.931e-66,,,7.931e-66
200.017,2.160e-64,,,2.160e-64
200.019,1.400e-61,,,1.400e-61
200.021,7.582e-59,,,7.582e-59
200.022,1.649e-57,,,1.649e-57
200.024,6.820e-55,,,6.820e-55
200.026,2.356e-52,,,2.356e-52
200.027,4.093e-51,,,4.093e-51
200.029,1.079e-48,,,1.079e-48
200.031,2.378e-46,,,2.378e-46
200.032,3.300e-45,,,3.300e-45
200.034,5.552e-43,,,5.552e-43
200.036,7.804e-41,,,7.804e-41
200.037,8.648e-40,,,8.648e-40
200.039,9.281e-38,,,9.281e-38
200.041,8.321e-36,,,8.321e-36
200.042,7.365e-35,,,7.365e-35
200.044,5.042e-33,,,5.042e-33
200.046,2.884e-31,,,2.884e-31
200.047,2.038e-30,,,2.038e-30
200.049,8.902e-29,,,8.902e-29
200.051,3.247e-27,,,3.247e-27
200.052,1.833e-26,,,1.833e-26
200.054,5.107e-25,,,5.107e-25
200.056,1.188e-23,,,1.188e-23
200.057,5.359e-23,,,5.359e-23
200.059,9.522e-22,,,9.522e-22
200.061,1.413e-20,,,1.413e-20
200.062,5.091e-20,,,5.091e-20
200.064,5.770e-19,,,5.770e-19
200.066,5.463e-18,,,5.463e-18
200.067,1.571e-17,,,1.571e-17
200.069,1.136e-16,,,1.136e-16
200.071,6.862e-16,,,6.862e-16
200.072,1.577e-15,,,1.577e-15
200.074,7.271e-15,,,7.271e-15
200.076,2.801e-14,,,2.801e-14
200.077,5.140e-14,,,5.140e-14
200.079,1.512e-13,,,1.512e-13
200.081,3.716e-13,,,3.716e-13
200.082,5.446e-13,,,5.446e-13
200.084,1.022e-12,,,1.022e-12
200.086,1.602e-12,,,1.602e-12
200.087,1.875e-12,,,1.875e-12
200.089,2.244e-12,,,2.244e-12
200.091,2.244e-12,,,2.244e-12
200.092,2.098e-12,,,2.098e-12
200.094,1.602e-12,,,1.602e-12
200.096,1.022e-12,,,1.022e-12
200.097,7.629e-13,,,7.629e-13
200.099,3.716e-13,,,3.716e-13
200.101,1.512e-13,,,1.512e-13
200.102,9.016e-14,,,9.016e-14
200.104,2.801e-14,,,2.801e-14
200.106,7.271e-15,,,7.271e-15
200.107,3.463e-15,,,3.463e-15
200.109,6.862e-16,,,6.862e-16
200.111,1.136e-16,,,1.136e-16
200.112,4.322e-17,,,4.322e-17
200.114,5.463e-18,,,5.463e-18
200.116,5.770e-19,,,5.770e-19
200.117,1.753e-19,,,1.753e-19
200.119,1.413e-20,,,1.413e-20
200.121,9.522e-22,,,9.522e-22
200.122,2.310e-22,,,2.310e-22
200.124,1.188e-23,,,1.188e-23
200.126,5.107e-25,,,5.107e-25
200.127,9.897e-26,,,9.897e-26
200.129,3.247e-27,,,3.247e-27
200.131,8.902e-29,,,8.902e-29
200.132,1.378e-29,,,1.378e-29
200.134,2.884e-31,,,2.884e-31
200.136,5.042e-33,,,5.042e-33
200.137,6.233e-34,,,6.233e-34
200.139,8.321e-36,,,8.321e-36
200.141,9.281e-38,,,9.281e-38
200.142,9.163e-39,,,9.163e-39
200.144,7.804e-41,,,7.804e-41
200.146,5.552e-43,,,5.552e-43
200.147,4.378e-44,,,4.378e-44
200.149,2.378e-46,,,2.378e-46
200.151,1.079e-48,,,1.079e-48
200.152,6.798e-50,,,6.798e-50
200.154,2.356e-52,,,2.356e-52
200.156,6.820e-55,,,6.820e-55
200.157,3.430e-56,,,3.430e-56
200.159,7.582e-59,,,7.582e-59
200.161,1.400e-61,,,1.400e-61
200.162,5.625e-63,,,5.625e-63
200.226,7.467e-65,,,7.467e-65
200.227,1.931e-63,,,1.931e-63
200.229,1.129e-60,,,1.129e-60
200.231,5.516e-58,,,5.516e-58
200.232,1.140e-56,,,1.140e-56
200.234,4.255e-54,,,4.255e-54
200.236,1.327e-51,,,1.327e-51
200.237,2.192e-50,,,2.192e-50
200.239,5.224e-48,,,5.224e-48
200.241,1.040e-45,,,1.040e-45
200.242,1.373e-44,,,1.373e-44
200.244,2.089e-42,,,2.089e-42
200.246,2.656e-40,,,2.656e-40
200.247,2.801e-39,,,2.801e-39
200.249,2.721e-37,,,2.721e-37
200.251,2.209e-35,,,2.209e-35
200.252,1.861e-34,,,1.861e-34
200.254,1.155e-32,,,1.155e-32
200.256,5.986e-31,,,5.986e-31
200.257,4.029e-30,,,4.029e-30
200.259,1.596e-28,,,1.596e-28
200.261,5.282e-27,,,5.282e-27
200.262,2.841e-26,,,2.841e-26
200.264,7.185e-25,,,7.185e-25
200.266,1.519e-23,,,1.519e-23
200.267,6.527e-23,,,6.527e-23
200.269,1.054e-21,,,1.054e-21
200.271,1.422e-20,,,1.422e-20
200.272,4.883e-20,,,4.883e-20
200.274,5.034e-19,,,5.034e-19
200.276,4.337e-18,,,4.337e-18
200.277,1.190e-17,,,1.190e-17
200.279,7.835e-17,,,7.835e-17
200.281,4.310e-16,,,4.310e-16
200.282,9.450e-16,,,9.450e-16
200.284,3.972e-15,,,3.972e-15
200.286,1.395e-14,,,1.395e-14
200.287,2.444e-14,,,2.444e-14
200.289,6.558e-14,,,6.558e-14
200.291,1.471e-13,,,1.471e-13
200.292,2.059e-13,,,2.059e-13
200.294,3.527e-13,,,3.527e-13
200.296,5.051e-13,,,5.051e-13
200.297,5.650e-13,,,5.650e-13
200.299,6.180e-13,,,6.180e-13
200.301,5.650e-13,,,5.650e-13
200.302,5.051e-13,,,5.051e-13
