Wavelength (nm),Sum(calc),Cr I (8.9e-2),Cr II (9.1e-1)
205.512,1.746e-15,,1.746e-15
205.514,9.575e-14,,9.575e-14
205.516,4.428e-12,,4.428e-12
205.517,2.825e-11,,2.825e-11
205.519,1.012e-9,,1.012e-9
205.521,3.055e-8,,3.055e-8
205.522,1.575e-7,,1.575e-7
205.524,3.684e-6,,3.684e-6
205.526,7.266e-5,,7.266e-5
205.528,1.209e-3,,1.209e-3
205.529,4.625e-3,,4.625e-3
205.531,5.958e-2,,5.958e-2
205.533,6.474e-1,,6.474e-1
205.534,2.002e+0,,2.002e+0
205.536,1.684e+1,,1.684e+1
205.538,1.195e+2,,1.195e+2
205.54,7.153e+2,,7.153e+2
205.541,1.641e+3,,1.641e+3
205.543,7.607e+3,,7.607e+3
205.545,2.973e+4,,2.973e+4
205.546,5.514e+4,,5.514e+4
205.548,1.669e+5,,1.669e+5
205.55,4.261e+5,,4.261e+5
205.552,9.173e+5,,9.173e+5
205.553,1.263e+6,,1.263e+6
205.555,2.105e+6,,2.105e+6
205.557,2.960e+6,,2.960e+6
205.558,3.293e+6,,3.293e+6
205.56,3.585e+6,,3.585e+6
205.562,3.293e+6,,3.293e+6
205.563,2.960e+6,,2.960e+6
205.565,2.105e+6,,2.105e+6
205.567,1.263e+6,,1.263e+6
205.569,6.387e+5,,6.387e+5
205.57,4.261e+5,,4.261e+5
205.572,1.669e+5,,1.669e+5
205.574,5.514e+4,,5.514e+4
205.575,2.973e+4,,2.973e+4
205.577,7.607e+3,,7.607e+3
205.579,1.641e+3,,1.641e+3
205.581,2.987e+2,,2.987e+2
205.582,1.195e+2,,1.195e+2
205.584,1.684e+1,,1.684e+1
205.586,2.002e+0,,2.002e+0
205.587,6.474e-1,,6.474e-1
205.589,5.958e-2,,5.958e-2
205.591,4.625e-3,,4.625e-3
205.593,3.028e-4,,3.028e-4
205.594,7.266e-5,,7.266e-5
205.596,3.684e-6,,3.684e-6
205.598,1.575e-7,,1.575e-7
205.599,3.055e-8,,3.055e-8
205.601,1.012e-9,,1.012e-9
205.603,2.825e-11,,2.825e-11
205.605,6.651e-13,,6.651e-13
205.606,9.575e-14,,9.575e-14
205.608,1.746e-15,,1.746e-15
206.109,2.215e-16,,2.215e-16
206.111,1.291e-14,,1.291e-14
206.113,6.356e-13,,6.356e-13
206.115,2.641e-11,,2.641e-11
206.116,1.598e-10,,1.598e-10
206.118,5.150e-9,,5.150e-9
206.12,1.401e-7,,1.401e-7
206.121,6.858e-7,,6.858e-7
206.123,1.447e-5,,1.447e-5
206.125,2.578e-4,,2.578e-4
206.127,3.876e-3,,3.876e-3
206.128,1.411e-2,,1.411e-2
206.13,1.645e-1,,1.645e-1
206.132,1.620e+0,,1.620e+0
206.133,4.769e+0,,4.769e+0
206.135,3.642e+1,,3.642e+1
206.137,2.348e+2,,2.348e+2
206.139,1.278e+3,,1.278e+3
206.14,2.797e+3,,2.797e+3
206.142,1.180e+4,,1.180e+4
206.144,4.205e+4,,4.205e+4
206.145,7.449e+4,,7.449e+4
206.147,2.059e+5,,2.059e+5
206.149,4.802e+5,,4.802e+5
206.15,6.883e+5,,6.883e+5
206.152,1.245e+6,,1.245e+6
206.154,1.902e+6,,1.902e+6
206.156,2.452e+6,,2.452e+6
206.157,2.613e+6,,2.613e+6
206.159,2.613e+6,,2.613e+6
206.161,2.206e+6,,2.206e+6
206.162,1.902e+6,,1.902e+6
206.164,1.245e+6,,1.245e+6
