Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
201.532,5.045e-43,,5.045e-43,,,
201.533,8.440e-42,,8.440e-42,,,
201.535,2.102e-39,,2.102e-39,,,
201.537,4.482e-37,,4.482e-37,,,
201.538,6.173e-36,,6.173e-36,,,
201.54,1.043e-33,,1.043e-33,,,
201.542,1.507e-31,,1.507e-31,,,
201.543,1.709e-30,,1.709e-30,,,
201.545,1.957e-28,,1.957e-28,,,
201.547,1.918e-26,,1.918e-26,,,
201.548,1.792e-25,,1.792e-25,,,
201.55,1.391e-23,,1.391e-23,,,
201.552,9.244e-22,,9.244e-22,,,
201.553,7.109e-21,,7.109e-21,,,
201.555,3.742e-19,,3.742e-19,,,
201.557,1.686e-17,,1.686e-17,,,
201.558,1.068e-16,,1.068e-16,,,
201.56,3.811e-15,,3.811e-15,,,
201.562,1.164e-13,,1.164e-13,,,
201.563,6.071e-13,,6.071e-13,,,
201.565,1.469e-11,,1.469e-11,,,
201.567,3.043e-10,,3.043e-10,,,
201.568,1.307e-9,,1.307e-9,,,
201.57,2.144e-8,,2.144e-8,,,
201.572,3.011e-7,,3.011e-7,,,
201.573,1.065e-6,,1.065e-6,,,
201.575,1.184e-5,,1.184e-5,,,
201.577,1.128e-4,,1.128e-4,,,
201.578,3.283e-4,,3.283e-4,,,
201.58,2.476e-3,,2.476e-3,,,
201.582,1.599e-2,,1.599e-2,,,
201.583,3.833e-2,,3.833e-2,,,
201.585,1.960e-1,,1.960e-1,,,
201.587,8.582e-1,,8.582e-1,,,
201.588,1.694e+0,,1.694e+0,,,
201.59,5.874e+0,,5.874e+0,,,
201.592,1.743e+1,,1.743e+1,,,
201.593,2.834e+1,,2.834e+1,,,
201.595,6.662e+1,,6.662e+1,,,
201.597,1.341e+2,,1.341e+2,,,
201.598,1.795e+2,,1.795e+2,,,
201.6,2.861e+2,,2.861e+2,,,
201.602,3.906e+2,,3.906e+2,,,
201.603,4.306e+2,,4.306e+2,,,
201.605,4.664e+2,,4.664e+2,,,
201.607,4.349e+2,,4.349e+2,,,
201.608,3.983e+2,,3.983e+2,,,
201.61,3.065e+2,,3.065e+2,,,
201.612,2.258e+2,,2.258e+2,,,
201.613,2.003e+2,,2.003e+2,,,
201.615,1.892e+2,,1.892e+2,,,
201.617,2.260e+2,,2.260e+2,,,
201.618,2.558e+2,,2.558e+2,,,
201.62,3.179e+2,,3.179e+2,,,
201.622,3.577e+2,,3.577e+2,,,
201.623,3.627e+2,,3.627e+2,,,
201.625,3.427e+2,,3.427e+2,,,
201.627,2.985e+2,,2.985e+2,,,
201.628,2.761e+2,,2.761e+2,,,
201.63,2.456e+2,,2.456e+2,,,
201.632,2.413e+2,,2.413e+2,,,
201.633,2.464e+2,,2.464e+2,,,
201.635,2.580e+2,,2.580e+2,,,
201.637,2.539e+2,,2.539e+2,,,
201.638,2.418e+2,,2.418e+2,,,
201.64,1.990e+2,,1.990e+2,,,
201.642,1.422e+2,,1.422e+2,,,
201.643,1.138e+2,,1.138e+2,,,
201.645,6.512e+1,,6.512e+1,,,
201.647,3.203e+1,,3.203e+1,,,
201.648,2.122e+1,,2.122e+1,,,
201.65,8.298e+0,,8.298e+0,,,
201.652,2.783e+0,,2.783e+0,,,
201.653,1.521e+0,,1.521e+0,,,
201.655,4.049e-1,,4.049e-1,,,
201.657,9.232e-2,,9.232e-2,,,
201.658,4.160e-2,,4.160e-2,,,
201.66,7.520e-3,,7.520e-3,,,
201.662,1.164e-3,,1.164e-3,,,
201.663,4.322e-4,,4.322e-4,,,
201.665,5.301e-5,,5.301e-5,,,
201.667,5.568e-6,,5.568e-6,,,
201.668,1.703e-6,,1.703e-6,,,
201.67,1.417e-7,,1.417e-7,,,
201.672,1.009e-8,,1.009e-8,,,
201.673,2.542e-9,,2.542e-9,,,
201.675,1.434e-10,,1.434e-10,,,
201.677,6.930e-12,,6.930e-12,,,
201.678,1.437e-12,,1.437e-12,,,
201.68,5.500e-14,,5.500e-14,,,
201.682,1.802e-15,,1.802e-15,,,
201.683,3.077e-16,,3.077e-16,,,
201.685,7.987e-18,,7.987e-18,,,
201.687,1.775e-19,,1.775e-19,,,
201.689,3.376e-21,,3.376e-21,,,
201.69,4.392e-22,,4.392e-22,,,
201.692,6.618e-24,,6.618e-24,,,
201.694,8.536e-26,,8.536e-26,,,
201.695,9.146e-27,,9.146e-27,,,
201.697,9.344e-29,,9.344e-29,,,
201.699,8.173e-31,,8.173e-31,,,
201.7,7.211e-32,,7.211e-32,,,
201.702,4.996e-34,,4.996e-34,,,
201.704,2.963e-36,,2.963e-36,,,
201.705,2.153e-37,,2.153e-37,,,
201.707,1.012e-39,,1.012e-39,,,
201.709,4.068e-42,,4.068e-42,,,
201.71,2.434e-43,,2.434e-43,,,
202.134,2.659e-44,,2.659e-44,,,
202.136,7.479e-42,,7.479e-42,,,
202.137,1.184e-40,,1.184e-40,,,
202.139,2.641e-38,,2.641e-38,,,
202.141,5.048e-36,,5.048e-36,,,
202.142,6.586e-35,,6.586e-35,,,
202.144,9.986e-33,,9.986e-33,,,
202.146,1.297e-30,,1.297e-30,,,
202.147,1.395e-29,,1.395e-29,,,
202.149,1.438e-27,,1.438e-27,,,
202.151,1.269e-25,,1.269e-25,,,
202.152,1.125e-24,,1.125e-24,,,
202.154,7.881e-23,,7.881e-23,,,
202.156,4.728e-21,,4.728e-21,,,
202.157,3.456e-20,,3.456e-20,,,
202.159,1.645e-18,,1.645e-18,,,
202.161,6.707e-17,,6.707e-17,,,
202.162,4.041e-16,,4.041e-16,,,
202.164,1.307e-14,,1.307e-14,,,
202.166,3.622e-13,,3.622e-13,,,
202.167,1.799e-12,,1.799e-12,,,
202.169,3.954e-11,,3.954e-11,,,
202.171,7.447e-10,,7.447e-10,,,
202.172,3.050e-9,,3.050e-9,,,
202.174,4.555e-8,,4.555e-8,,,
202.176,5.830e-7,,5.830e-7,,,
202.177,1.968e-6,,1.968e-6,,,
