Wavelength (nm),Sum(calc),Cu I (2.9e-1),Cu II (7.1e-1)
201.192,1.499e-45,,1.499e-45
201.194,9.474e-44,,9.474e-44
201.197,4.103e-41,,4.103e-41
201.199,2.128e-39,,2.128e-39
201.202,6.853e-37,,6.853e-37
201.204,2.918e-35,,2.918e-35
201.207,6.988e-33,,6.988e-33
201.209,2.442e-31,,2.442e-31
201.212,4.350e-29,,4.350e-29
201.214,1.248e-27,,1.248e-27
201.217,1.653e-25,,1.653e-25
201.219,3.891e-24,,3.891e-24
201.222,3.833e-22,,3.833e-22
201.224,7.408e-21,,7.408e-21
201.227,5.428e-19,,5.428e-19
201.229,8.610e-18,,8.610e-18
201.232,4.691e-16,,4.691e-16
201.234,6.109e-15,,6.109e-15
201.237,2.475e-13,,2.475e-13
201.239,2.646e-12,,2.646e-12
201.242,7.972e-11,,7.972e-11
201.244,6.994e-10,,6.994e-10
201.247,1.567e-8,,1.567e-8
201.249,1.129e-7,,1.129e-7
201.252,1.881e-6,,1.881e-6
201.254,1.112e-5,,1.112e-5
201.257,1.378e-4,,1.378e-4
201.259,6.687e-4,,6.687e-4
201.262,6.164e-3,,6.164e-3
201.264,2.455e-2,,2.455e-2
201.267,1.683e-1,,1.683e-1
201.269,5.502e-1,,5.502e-1
201.272,2.805e+0,,2.805e+0
201.274,7.526e+0,,7.526e+0
201.277,2.853e+1,,2.853e+1
201.279,6.285e+1,,6.285e+1
201.282,1.772e+2,,1.772e+2
201.284,3.204e+2,,3.204e+2
201.287,6.718e+2,,6.718e+2
201.289,9.970e+2,,9.970e+2
201.292,1.555e+3,,1.555e+3
201.294,1.894e+3,,1.894e+3
201.297,2.196e+3,,2.196e+3
201.299,2.196e+3,,2.196e+3
201.302,1.894e+3,,1.894e+3
201.304,1.555e+3,,1.555e+3
201.307,9.970e+2,,9.970e+2
201.309,6.718e+2,,6.718e+2
201.312,3.204e+2,,3.204e+2
201.314,1.772e+2,,1.772e+2
201.317,6.285e+1,,6.285e+1
201.319,2.853e+1,,2.853e+1
201.322,7.526e+0,,7.526e+0
201.324,2.805e+0,,2.805e+0
201.327,5.502e-1,,5.502e-1
201.329,1.683e-1,,1.683e-1
201.332,2.455e-2,,2.455e-2
201.334,6.164e-3,,6.164e-3
201.337,6.687e-4,,6.687e-4
201.339,1.378e-4,,1.378e-4
201.342,1.112e-5,,1.112e-5
201.344,1.881e-6,,1.881e-6
201.347,1.129e-7,,1.129e-7
201.349,1.567e-8,,1.567e-8
201.352,6.994e-10,,6.994e-10
201.354,7.972e-11,,7.972e-11
201.357,2.646e-12,,2.646e-12
201.359,2.475e-13,,2.475e-13
201.362,6.109e-15,,6.109e-15
201.364,4.691e-16,,4.691e-16
201.367,8.610e-18,,8.610e-18
201.369,5.428e-19,,5.428e-19
201.372,7.408e-21,,7.408e-21
201.374,3.833e-22,,3.833e-22
201.377,3.891e-24,,3.891e-24
201.379,1.653e-25,,1.653e-25
201.382,1.248e-27,,1.248e-27
201.384,4.350e-29,,4.350e-29
201.387,2.442e-31,,2.442e-31
201.389,6.988e-33,,6.988e-33
201.392,2.918e-35,,2.918e-35
201.394,6.853e-37,,6.853e-37
201.397,2.128e-39,,2.128e-39
201.399,4.103e-41,,4.103e-41
201.402,9.474e-44,,9.474e-44
201.404,1.499e-45,,1.499e-45
201.452,3.281e-44,,3.281e-44
201.454,2.051e-42,,2.051e-42
201.457,8.743e-40,,8.743e-40
201.459,4.488e-38,,4.488e-38
201.462,1.424e-35,,1.424e-35
201.464,6.005e-34,,6.005e-34
201.467,1.418e-31,,1.418e-31
201.469,4.910e-30,,4.910e-30
201.472,8.630e-28,,8.630e-28
201.474,2.454e-26,,2.454e-26
201.477,3.210e-24,,3.210e-24
201.479,7.496e-23,,7.496e-23
201.482,7.298e-21,,7.298e-21
201.484,1.400e-19,,1.400e-19
201.487,1.014e-17,,1.014e-17
201.489,1.597e-16,,1.597e-16
201.492,8.614e-15,,8.614e-15
201.494,1.114e-13,,1.114e-13
201.497,4.472e-12,,4.472e-12
201.499,4.751e-11,,4.751e-11
201.502,1.419e-9,,1.419e-9
201.504,1.238e-8,,1.238e-8
201.507,2.752e-7,,2.752e-7
201.509,1.972e-6,,1.972e-6
201.512,3.263e-5,,3.263e-5
201.514,1.920e-4,,1.920e-4
201.517,2.364e-3,,2.364e-3
201.519,1.142e-2,,1.142e-2
201.522,1.047e-1,,1.047e-1
201.524,4.155e-1,,4.155e-1
201.527,2.834e+0,,2.834e+0
201.529,9.237e+0,,9.237e+0
201.532,4.689e+1,,4.689e+1
201.534,1.255e+2,,1.255e+2
201.537,4.742e+2,,4.742e+2
201.539,1.042e+3,,1.042e+3
201.542,2.931e+3,,2.931e+3
201.544,5.292e+3,,5.292e+3
201.547,1.107e+4,,1.107e+4
201.549,1.642e+4,,1.642e+4
201.552,2.557e+4,,2.557e+4
201.554,3.114e+4,,3.114e+4
201.556,3.504e+4,,3.504e+4
201.559,3.609e+4,,3.609e+4
201.561,3.336e+4,,3.336e+4
201.564,2.557e+4,,2.557e+4
201.566,1.941e+4,,1.941e+4
201.569,1.107e+4,,1.107e+4
201.571,6.903e+3,,6.903e+3
201.574,2.931e+3,,2.931e+3
201.576,1.501e+3,,1.501e+3
201.579,4.742e+2,,4.742e+2
201.581,1.994e+2,,1.994e+2
201.584,4.689e+1,,4.689e+1
201.586,1.619e+1,,1.619e+1
201.589,2.834e+0,,2.834e+0
201.591,8.037e-1,,8.037e-1
201.594,1.047e-1,,1.047e-1
201.596,2.438e-2,,2.438e-2
201.599,2.364e-3,,2.364e-3
201.601,4.522e-4,,4.522e-4
201.604,3.263e-5,,3.263e-5
201.606,5.125e-6,,5.125e-6
201.609,2.752e-7,,2.752e-7
201.611,3.550e-8,,3.550e-8
201.614,1.419e-9,,1.419e-9
201.616,1.503e-10,,1.503e-10
201.619,4.472e-12,,4.472e-12
201.621,3.891e-13,,3.891e-13
201.624,8.614e-15,,8.614e-15
201.626,6.155e-16,,6.155e-16
201.629,1.014e-17,,1.014e-17
201.631,5.951e-19,,5.951e-19
201.634,7.298e-21,,7.298e-21
201.636,3.517e-22,,3.517e-22
201.639,3.210e-24,,3.210e-24
201.641,1.270e-25,,1.270e-25
201.644,8.630e-28,,8.630e-28
201.646,2.805e-29,,2.805e-29
201.649,1.418e-31,,1.418e-31
201.651,3.785e-33,,3.785e-33
201.654,1.424e-35,,1.424e-35
201.656,3.122e-37,,3.122e-37
201.659,8.743e-40,,8.743e-40
201.661,1.574e-41,,1.574e-41
201.664,3.281e-44,,3.281e-44
201.666,4.851e-46,,4.851e-46
202.326,2.230e-44,2.230e-44,7.117e-45
202.328,1.410e-42,1.410e-42,7.137e-45
202.331,6.123e-40,6.123e-40,7.167e-45
202.333,3.186e-38,3.186e-38,7.187e-45
202.336,1.034e-35,1.034e-35,7.217e-45
202.338,4.427e-34,4.427e-34,7.238e-45
202.341,1.073e-31,1.073e-31,7.268e-45
202.343,3.783e-30,3.783e-30,7.288e-45
202.346,6.846e-28,6.846e-28,7.318e-45
202.348,1.987e-26,1.987e-26,7.338e-45
202.351,2.687e-24,2.687e-24,7.368e-45
202.353,6.421e-23,6.421e-23,7.388e-45
202.356,6.485e-21,6.485e-21,7.418e-45
202.358,1.276e-19,1.276e-19,7.438e-45
202.361,9.628e-18,9.628e-18,7.469e-45
202.363,1.560e-16,1.560e-16,7.489e-45
202.366,8.792e-15,8.792e-15,7.519e-45
202.368,1.173e-13,1.173e-13,7.539e-45
202.371,4.939e-12,4.939e-12,7.569e-45
202.373,5.424e-11,5.424e-11,7.589e-45
202.376,1.707e-9,1.707e-9,7.619e-45
202.378,1.543e-8,1.543e-8,7.639e-45
202.381,3.628e-7,3.628e-7,7.670e-45
202.383,2.702e-6,2.702e-6,7.690e-45
202.386,4.746e-5,4.746e-5,7.720e-45
202.388,2.910e-4,2.910e-4,7.740e-45
202.391,3.819e-3,3.819e-3,7.770e-45
202.393,1.928e-2,1.928e-2,7.790e-45
