Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
203.296,1.065e-35,,1.065e-35,
203.301,6.237e-34,,6.237e-34,
203.306,3.237e-32,,3.237e-32,
203.311,1.489e-30,,1.489e-30,
203.316,6.070e-29,,6.070e-29,
203.321,2.193e-27,,2.193e-27,
203.326,7.022e-26,,7.022e-26,
203.331,1.992e-24,,1.992e-24,
203.336,5.010e-23,,5.010e-23,
203.341,1.117e-21,,1.117e-21,
203.346,2.205e-20,,2.205e-20,
203.351,3.860e-19,,3.860e-19,
203.357,1.021e-17,,1.021e-17,
203.362,1.370e-16,,1.370e-16,
203.367,1.630e-15,,1.630e-15,
203.372,1.718e-14,,1.718e-14,
203.377,1.604e-13,,1.604e-13,
203.382,1.328e-12,,1.328e-12,
203.387,9.742e-12,,9.742e-12,
203.392,6.334e-11,,6.334e-11,
203.397,3.650e-10,,3.650e-10,
203.402,1.864e-9,,1.864e-9,
203.407,8.433e-9,,8.433e-9,
203.412,3.382e-8,,3.382e-8,
203.417,1.202e-7,,1.202e-7,
203.422,3.787e-7,,3.787e-7,
203.427,1.057e-6,,1.057e-6,
203.432,2.615e-6,,2.615e-6,
203.437,5.734e-6,,5.734e-6,
203.442,1.114e-5,,1.114e-5,
203.447,1.919e-5,,1.919e-5,
203.452,2.928e-5,,2.928e-5,
203.457,3.960e-5,,3.960e-5,
203.462,4.746e-5,,4.746e-5,
203.467,5.042e-5,,5.042e-5,
203.472,4.747e-5,,4.747e-5,
203.478,3.771e-5,,3.771e-5,
203.483,2.745e-5,,2.745e-5,
203.488,1.847e-5,,1.847e-5,
203.493,1.355e-5,,1.355e-5,
203.498,1.606e-5,,1.606e-5,
203.503,3.173e-5,,3.173e-5,
203.508,7.042e-5,,7.042e-5,
203.513,1.455e-4,,1.455e-4,
203.518,2.688e-4,,2.688e-4,
203.523,4.408e-4,,4.408e-4,
203.528,6.408e-4,,6.408e-4,
203.533,8.256e-4,,8.256e-4,
203.538,9.429e-4,,9.429e-4,
203.543,9.543e-4,,9.543e-4,
203.548,8.561e-4,,8.561e-4,
203.553,6.807e-4,,6.807e-4,
203.558,4.796e-4,,4.796e-4,
203.563,2.996e-4,,2.996e-4,
203.568,1.658e-4,,1.658e-4,
203.573,8.136e-5,,8.136e-5,
203.578,3.538e-5,,3.538e-5,
203.583,1.364e-5,,1.364e-5,
203.588,4.658e-6,,4.658e-6,
203.593,1.410e-6,,1.410e-6,
203.599,2.867e-7,,2.867e-7,
203.604,6.656e-8,,6.656e-8,
203.609,1.370e-8,,1.370e-8,
203.614,2.505e-9,,2.505e-9,
203.619,4.561e-10,,4.561e-10,
203.624,4.048e-10,,4.048e-10,
203.629,2.047e-9,,2.047e-9,
203.634,1.063e-8,,1.063e-8,
203.639,4.911e-8,,4.911e-8,
203.644,2.011e-7,,2.011e-7,
203.649,7.302e-7,,7.302e-7,
203.654,2.350e-6,,2.350e-6,
203.659,6.704e-6,,6.704e-6,
203.664,1.696e-5,,1.696e-5,
203.669,3.801e-5,,3.801e-5,
203.674,7.555e-5,,7.555e-5,
203.679,1.331e-4,,1.331e-4,
203.684,2.079e-4,,2.079e-4,
