Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
208.1217,0,,,0
208.1218,0,,,0
208.122,0,,,0
208.1222,0,,,0
208.1223,0,,,0
208.1225,0,,,0
208.1227,0,,,0
208.1229,0,,,0
208.123,0,,,0
208.1232,0,,,0
208.1234,0,,,0
208.1235,0,,,0
208.1237,0,,,0
208.1239,0,,,0
208.1241,0,,,0
208.1242,0,,,0
208.1244,0,,,0
208.1246,0,,,0
208.1248,0,,,0
208.1249,0,,,0
208.1251,0,,,0
208.1253,0,,,0
208.1254,0,,,0
208.1256,0,,,0
208.1258,0,,,0
208.126,0,,,0
208.1261,0,,,0
208.1263,0,,,0
208.1265,0,,,0
208.1267,0,,,0
208.1268,0,,,0
208.127,0,,,0
208.1272,0,,,0
208.1273,0,,,0
208.1275,0,,,0
208.1277,0,,,0
208.1279,0,,,0
208.128,0,,,0
208.1282,0,,,0
208.1284,0,,,0
208.1285,0,,,0
208.1287,0,,,0
208.1289,0,,,0
208.1291,0,,,0
208.1292,0,,,0
208.1294,0,,,0
208.1296,0,,,0
208.1298,0,,,0
208.1299,0,,,0
208.1301,0,,,0
208.1303,0,,,0
208.1304,0,,,0
208.1306,0,,,0
208.1308,0,,,0
208.131,0,,,0
208.1311,0,,,0
208.1313,0,,,0
208.1315,0,,,0
208.1317,0,,,0
208.1318,0,,,0
208.132,0,,,0
208.1322,0,,,0
208.1323,0,,,0
208.1325,0,,,0
208.1327,0,,,0
208.1329,0,,,0
208.133,0,,,0
208.1332,0,,,0
208.1334,0,,,0
208.1335,0,,,0
208.1337,0,,,0
208.1339,0,,,0
208.1341,0,,,0
208.1342,0,,,0
208.1344,0,,,0
208.1346,0,,,0
208.1348,0,,,0
208.1349,0,,,0
208.1351,0,,,0
208.1353,0,,,0
208.1354,0,,,0
208.1356,0,,,0
208.1358,0,,,0
208.136,0,,,0
208.1361,0,,,0
208.1363,0,,,0
208.1365,0,,,0
208.1367,0,,,0
208.1368,0,,,0
208.137,0,,,0
208.1372,0,,,0
208.1373,0,,,0
208.1375,0,,,0
208.1377,0,,,0
208.1379,0,,,0
208.138,0,,,0
208.1382,0,,,0
208.1384,0,,,0
208.1385,0,,,0
208.1387,0,,,0
208.1389,0,,,0
208.1391,0,,,0
208.1392,0,,,0
208.1394,0,,,0
208.1396,0,,,0
208.1398,0,,,0
208.1399,0,,,0
208.1401,0,,,0
208.1403,0,,,0
208.1404,0,,,0
208.1406,0,,,0
208.1408,0,,,0
208.141,0,,,0
208.1411,0,,,0
208.1413,0,,,0
208.1415,0,,,0
208.1417,0,,,0
208.1418,0,,,0
208.142,0,,,0
208.1422,0,,,0
208.1423,0,,,0
208.1425,0,,,0
208.1427,0,,,0
208.1429,0,,,0
208.143,0,,,0
208.1432,0,,,0
208.1434,0,,,0
208.1435,0,,,0
208.1437,0,,,0
208.1439,0,,,0
208.1441,0,,,0
208.1442,0,,,0
208.1444,0,,,0
208.1446,0,,,0
208.1448,0,,,0
208.1449,0,,,0
208.1451,0,,,0
208.1453,0,,,0
208.1454,0,,,0
208.1456,0,,,0
208.1458,0,,,0
208.146,0,,,0
208.1461,0,,,0
208.1463,0,,,0
208.1465,0,,,0
208.1467,0,,,0
208.1468,0,,,0
208.147,0,,,0
208.1472,0,,,0
208.1473,0,,,0
208.1475,0,,,0
208.1477,0,,,0
208.1479,0,,,0
208.148,0,,,0
208.1482,0,,,0
208.1484,0,,,0
208.1485,0,,,0
208.1487,0,,,0
208.1489,0,,,0
208.1491,0,,,0
208.1492,0,,,0
208.1494,0,,,0
208.1496,0,,,0
208.1498,0,,,0
208.1499,0,,,0
208.1501,0,,,0
208.1503,0,,,0
208.1504,0,,,0
208.1506,0,,,0
208.1508,0,,,0
208.151,0,,,0
208.1511,0,,,0
208.1513,0,,,0
208.1515,0,,,0
208.1517,0,,,0
208.1518,0,,,0
208.152,0,,,0
208.1522,0,,,0
208.1523,0,,,0
208.1525,0,,,0
208.1527,0,,,0
208.1529,0,,,0
208.153,0,,,0
208.1532,0,,,0
208.1534,0,,,0
208.1535,0,,,0
208.1537,0,,,0
208.1539,0,,,0
208.1541,0,,,0
208.1542,0,,,0
208.1544,0,,,0
208.1546,0,,,0
208.1548,0,,,0
208.1549,0,,,0
208.1551,0,,,0
208.1553,0,,,0
208.1554,0,,,0
208.1556,0,,,0
208.1558,0,,,0
208.156,0,,,0
208.1561,0,,,0
208.1563,0,,,0
208.1565,0,,,0
208.1567,0,,,0
208.1568,0,,,0
208.157,0,,,0
208.1572,0,,,0
208.1573,0,,,0
208.1575,0,,,0
208.1577,0,,,0
208.1579,0,,,0
208.158,0,,,0
208.1582,0,,,0
208.1584,0,,,0
208.1585,0,,,0
208.1587,0,,,0
208.1589,0,,,0
208.1591,0,,,0
208.1592,0,,,0
208.1594,0,,,0
208.1596,0,,,0
208.1598,0,,,0
208.1599,0,,,0
208.1601,0,,,0
208.1603,0,,,0
208.1604,0,,,0
208.1606,0,,,0
208.1608,0,,,0
208.161,0,,,0
208.1611,0,,,0
208.1613,0,,,0
208.1615,0,,,0
208.1617,0,,,0
208.1618,0,,,0
208.162,0,,,0
208.1622,0,,,0
208.1623,0,,,0
208.1625,0,,,0
208.1627,0,,,0
208.1629,0,,,0
208.163,0,,,0
208.1632,0,,,0
208.1634,0,,,0
208.1635,0,,,0
208.1637,0,,,0
208.1639,0,,,0
208.1641,0,,,0
208.1642,0,,,0
208.1644,0,,,0
208.1646,0,,,0
208.1648,0,,,0
208.1649,0,,,0
208.1651,0,,,0
208.1653,0,,,0
208.1654,0,,,0
208.1656,0,,,0
208.1658,0,,,0
208.166,0,,,0
208.1661,0,,,0
208.1663,0,,,0
208.1665,0,,,0
208.1667,0,,,0
208.1668,0,,,0
208.167,0,,,0
208.1672,0,,,0
208.1673,0,,,0
208.1675,0,,,0
208.1677,0,,,0
208.1679,0,,,0
208.168,0,,,0
208.1682,0,,,0
208.1684,0,,,0
208.1685,0,,,0
208.1687,0,,,0
208.1689,0,,,0
208.1691,0,,,0
208.1692,0,,,0
208.1694,0,,,0
208.1696,0,,,0
208.1698,0,,,0
208.1699,0,,,0
208.1701,0,,,0
208.1703,0,,,0
208.1704,0,,,0
208.1706,0,,,0
208.1708,0,,,0
208.171,0,,,0
208.1711,0,,,0
208.1713,0,,,0
208.1715,0,,,0
208.1717,0,,,0
208.1718,0,,,0
208.172,0,,,0
208.1722,0,,,0
208.1723,0,,,0
208.1725,0,,,0
208.1727,0,,,0
208.1729,0,,,0
208.173,0,,,0
208.1732,0,,,0
208.1734,0,,,0
208.1735,0,,,0
208.1737,0,,,0
208.1739,0,,,0
208.1741,0,,,0
208.1742,0,,,0
208.1744,0,,,0
208.1746,0,,,0
208.1748,0,,,0
208.1749,0,,,0
208.1751,0,,,0
208.1753,0,,,0
208.1754,0,,,0
208.1756,0,,,0
208.1758,0,,,0
208.176,7.189e-321,,,7.189e-321
208.1761,6.659e-318,,,6.659e-318
208.1763,5.046e-312,,,5.046e-312
208.1765,3.239e-306,,,3.239e-306
208.1767,1.761e-300,,,1.761e-300
208.1768,1.220e-297,,,1.220e-297
208.177,5.168e-292,,,5.168e-292
208.1772,1.854e-286,,,1.854e-286
208.1773,1.044e-283,,,1.044e-283
208.1775,2.919e-278,,,2.919e-278
208.1777,6.916e-273,,,6.916e-273
208.1779,1.388e-267,,,1.388e-267
208.178,5.840e-265,,,5.840e-265
208.1782,9.133e-260,,,9.133e-260
208.1784,1.210e-254,,,1.210e-254
208.1785,4.137e-252,,,4.137e-252
208.1787,4.271e-247,,,4.271e-247
208.1789,3.734e-242,,,3.734e-242
208.1791,2.766e-237,,,2.766e-237
208.1792,7.072e-235,,,7.072e-235
208.1794,4.082e-230,,,4.082e-230
208.1796,1.996e-225,,,1.996e-225
208.1798,8.263e-221,,,8.263e-221
208.1799,1.580e-218,,,1.580e-218
208.1801,5.099e-214,,,5.099e-214
208.1803,1.394e-209,,,1.394e-209
208.1804,2.165e-207,,,2.165e-207
208.1806,4.613e-203,,,4.613e-203
208.1808,8.325e-199,,,8.325e-199
208.181,1.272e-194,,,1.272e-194
208.1811,1.478e-192,,,1.478e-192
208.1813,1.761e-188,,,1.761e-188
208.1815,1.776e-184,,,1.776e-184
208.1817,1.518e-180,,,1.518e-180
208.1818,1.318e-178,,,1.318e-178
208.182,8.782e-175,,,8.782e-175
208.1822,4.954e-171,,,4.954e-171
208.1823,3.496e-169,,,3.496e-169
208.1825,1.537e-165,,,1.537e-165
208.1827,5.725e-162,,,5.725e-162
208.1829,1.806e-158,,,1.806e-158
208.183,9.528e-157,,,9.528e-157
208.1832,2.342e-153,,,2.342e-153
208.1834,4.877e-150,,,4.877e-150
208.1835,2.091e-148,,,2.091e-148
208.1837,3.394e-145,,,3.394e-145
208.1839,4.665e-142,,,4.665e-142
208.1841,5.431e-139,,,5.431e-139
208.1842,1.741e-137,,,1.741e-137
208.1844,1.580e-134,,,1.580e-134
208.1846,1.214e-131,,,1.214e-131
208.1848,7.904e-129,,,7.904e-129
208.1849,1.895e-127,,,1.895e-127
208.1851,9.613e-125,,,9.613e-125
208.1853,4.131e-122,,,4.131e-122
208.1854,8.046e-121,,,8.046e-121
208.1856,2.695e-118,,,2.695e-118
208.1858,7.645e-116,,,7.645e-116
208.186,1.837e-113,,,1.837e-113
208.1861,2.675e-112,,,2.675e-112
208.1863,5.009e-110,,,5.009e-110
208.1865,7.945e-108,,,7.945e-108
208.1867,1.067e-105,,,1.067e-105
208.1868,1.162e-104,,,1.162e-104
208.187,1.217e-102,,,1.217e-102
208.1872,1.079e-100,,,1.079e-100
208.1873,9.550e-100,,,9.550e-100
208.1875,6.601e-98,,,6.601e-98
208.1877,3.864e-96,,,3.864e-96
208.1879,1.916e-94,,,1.916e-94
208.188,1.268e-93,,,1.268e-93
208.1882,4.899e-92,,,4.899e-92
208.1884,1.604e-90,,,1.604e-90
208.1886,4.446e-89,,,4.446e-89
208.1887,2.199e-88,,,2.199e-88
208.1889,4.753e-87,,,4.753e-87
208.1891,8.698e-86,,,8.698e-86
208.1892,3.496e-85,,,3.496e-85
208.1894,4.987e-84,,,4.987e-84
208.1896,6.025e-83,,,6.025e-83
208.1898,6.166e-82,,,6.166e-82
208.1899,1.853e-81,,,1.853e-81
208.1901,1.478e-80,,,1.478e-80
208.1903,9.984e-80,,,9.984e-80
208.1904,2.438e-79,,,2.438e-79
208.1906,1.284e-78,,,1.284e-78
208.1908,5.725e-78,,,5.725e-78
208.191,2.162e-77,,,2.162e-77
208.1911,3.948e-77,,,3.948e-77
208.1913,1.162e-76,,,1.162e-76
208.1915,2.898e-76,,,2.898e-76
208.1917,6.120e-76,,,6.120e-76
208.1918,8.356e-76,,,8.356e-76
208.192,1.375e-75,,,1.375e-75
208.1922,1.917e-75,,,1.917e-75
208.1923,2.127e-75,,,2.127e-75
208.1925,2.311e-75,,,2.311e-75
208.1927,2.127e-75,,,2.127e-75
208.1929,1.658e-75,,,1.658e-75
208.193,1.376e-75,,,1.376e-75
208.1932,8.359e-76,,,8.359e-76
208.1934,4.314e-76,,,4.314e-76
208.1936,1.933e-76,,,1.933e-76
208.1937,1.275e-76,,,1.275e-76
208.1939,7.562e-77,,,7.562e-77
208.1941,1.093e-76,,,1.093e-76
208.1942,1.572e-76,,,1.572e-76
208.1944,3.211e-76,,,3.211e-76
208.1946,5.722e-76,,,5.722e-76
208.1948,8.664e-76,,,8.664e-76
208.1949,1.002e-75,,,1.002e-75
208.1951,1.183e-75,,,1.183e-75
208.1953,1.183e-75,,,1.183e-75
208.1954,1.111e-75,,,1.111e-75
208.1956,8.663e-76,,,8.663e-76
208.1958,5.719e-76,,,5.719e-76
208.196,3.198e-76,,,3.198e-76
208.1961,2.247e-76,,,2.247e-76
208.1963,9.791e-77,,,9.791e-77
208.1965,3.614e-77,,,3.614e-77
208.1967,1.130e-77,,,1.130e-77
208.1968,5.936e-78,,,5.936e-78
208.197,1.446e-78,,,1.446e-78
208.1972,2.985e-79,,,2.985e-79
208.1973,1.274e-79,,,1.274e-79
208.1975,2.050e-80,,,2.050e-80
208.1977,2.793e-81,,,2.793e-81
208.1979,3.223e-82,,,3.223e-82
208.198,1.029e-82,,,1.029e-82
208.1982,9.252e-84,,,9.252e-84
208.1984,7.048e-85,,,7.048e-85
208.1986,4.547e-86,,,4.547e-86
208.1987,1.085e-86,,,1.085e-86
208.1989,5.458e-88,,,5.458e-88
208.1991,2.325e-89,,,2.325e-89
208.1992,4.508e-90,,,4.508e-90
208.1994,1.497e-91,,,1.497e-91
208.1996,4.208e-93,,,4.208e-93
208.1998,1.002e-94,,,1.002e-94
208.1999,1.453e-95,,,1.453e-95
208.2001,2.698e-97,,,2.698e-97
208.2003,4.241e-99,,,4.241e-99
208.2004,4.997e-100,,,4.997e-100
208.2006,6.123e-102,,,6.123e-102
208.2008,6.355e-104,,,6.355e-104
208.201,5.587e-106,,,5.587e-106
208.2011,4.922e-107,,,4.922e-107
208.2013,3.712e-109,,,3.712e-109
208.2015,4.960e-108,,,4.960e-108
208.2017,6.125e-106,,,6.125e-106
208.2018,6.397e-105,,,6.397e-105
208.202,6.160e-103,,,6.160e-103
208.2022,5.024e-101,,,5.024e-101
208.2023,4.264e-100,,,4.264e-100
208.2025,2.711e-98,,,2.711e-98
208.2027,1.460e-96,,,1.460e-96
208.2029,6.656e-95,,,6.656e-95
208.203,4.224e-94,,,4.224e-94
208.2032,1.501e-92,,,1.501e-92
208.2034,4.521e-91,,,4.521e-91
208.2036,1.153e-89,,,1.153e-89
208.2037,5.470e-89,,,5.470e-89
208.2039,1.087e-87,,,1.087e-87
208.2041,1.831e-86,,,1.831e-86
208.2042,7.058e-86,,,7.058e-86
208.2044,9.262e-85,,,9.262e-85
208.2046,1.029e-83,,,1.029e-83
208.2048,9.692e-83,,,9.692e-83
208.2049,2.794e-82,,,2.794e-82
208.2051,2.050e-81,,,2.050e-81
208.2053,1.274e-80,,,1.274e-80
208.2054,2.985e-80,,,2.985e-80
208.2056,1.446e-79,,,1.446e-79
208.2058,5.933e-79,,,5.933e-79
208.206,2.062e-78,,,2.062e-78
208.2061,3.612e-78,,,3.612e-78
208.2063,9.784e-78,,,9.784e-78
208.2065,2.245e-77,,,2.245e-77
208.2067,4.362e-77,,,4.362e-77
208.2068,5.714e-77,,,5.714e-77
208.207,8.654e-77,,,8.654e-77
208.2072,1.110e-76,,,1.110e-76
208.2073,1.182e-76,,,1.182e-76
208.2075,1.182e-76,,,1.182e-76
208.2077,1.001e-76,,,1.001e-76
208.2079,7.179e-77,,,7.179e-77
208.208,5.714e-77,,,5.714e-77
208.2082,3.195e-77,,,3.195e-77
208.2084,1.513e-77,,,1.513e-77
208.2086,6.069e-78,,,6.069e-78
208.2087,3.612e-78,,,3.612e-78
208.2089,1.133e-78,,,1.133e-78
208.2091,3.252e-79,,,3.252e-79
208.2092,2.085e-79,,,2.085e-79
208.2094,3.660e-79,,,3.660e-79
208.2096,1.504e-78,,,1.504e-78
208.2098,5.659e-78,,,5.659e-78
208.2099,1.033e-77,,,1.033e-77
208.2101,3.041e-77,,,3.041e-77
208.2103,7.581e-77,,,7.581e-77
208.2104,1.125e-76,,,1.125e-76
208.2106,2.185e-76,,,2.185e-76
208.2108,3.597e-76,,,3.597e-76
208.211,5.014e-76,,,5.014e-76
208.2111,5.562e-76,,,5.562e-76
208.2113,6.044e-76,,,6.044e-76
208.2115,5.562e-76,,,5.562e-76
208.2117,4.336e-76,,,4.336e-76
208.2118,3.597e-76,,,3.597e-76
208.212,2.185e-76,,,2.185e-76
208.2122,1.125e-76,,,1.125e-76
208.2123,7.581e-77,,,7.581e-77
208.2125,3.041e-77,,,3.041e-77
208.2127,1.033e-77,,,1.033e-77
208.2129,2.973e-78,,,2.973e-78
208.213,1.499e-78,,,1.499e-78
208.2132,3.361e-79,,,3.361e-79
208.2134,6.386e-80,,,6.386e-80
208.2136,1.028e-80,,,1.028e-80
208.2137,3.873e-81,,,3.873e-81
208.2139,4.858e-82,,,4.858e-82
208.2141,5.161e-83,,,5.161e-83
208.2142,1.580e-83,,,1.580e-83
208.2144,1.309e-84,,,1.309e-84
208.2146,9.179e-86,,,9.179e-86
208.2148,5.453e-87,,,5.453e-87
208.2149,1.249e-87,,,1.249e-87
208.2151,5.782e-89,,,5.782e-89
208.2153,2.268e-90,,,2.268e-90
208.2154,4.220e-91,,,4.220e-91
208.2156,1.290e-92,,,1.290e-92
208.2158,3.340e-94,,,3.340e-94
208.216,7.324e-96,,,7.324e-96
208.2161,1.019e-96,,,1.019e-96
208.2163,1.742e-98,,,1.742e-98
208.2165,2.522e-100,,,2.522e-100
208.2167,3.093e-102,,,3.093e-102
208.2168,3.218e-103,,,3.218e-103
208.217,3.076e-105,,,3.076e-105
208.2172,2.491e-107,,,2.491e-107
208.2173,2.106e-108,,,2.106e-108
208.2175,1.329e-110,,,1.329e-110
208.2177,7.103e-113,,,7.103e-113
208.2179,3.215e-115,,,3.215e-115
208.218,2.033e-116,,,2.033e-116
208.2182,1.243e-118,,,1.243e-118
208.2184,1.621e-116,,,1.621e-116
208.2186,4.236e-114,,,4.236e-114
208.2187,6.435e-113,,,6.435e-113
208.2189,1.311e-110,,,1.311e-110
208.2191,2.264e-108,,,2.264e-108
208.2192,2.795e-107,,,2.795e-107
208.2194,3.762e-105,,,3.762e-105
208.2196,4.291e-103,,,4.291e-103
208.2198,4.147e-101,,,4.147e-101
208.2199,3.831e-100,,,3.831e-100
208.2201,2.887e-98,,,2.887e-98
208.2203,1.844e-96,,,1.844e-96
208.2204,1.385e-95,,,1.385e-95
208.2206,6.898e-94,,,6.898e-94
208.2208,2.912e-92,,,2.912e-92
208.221,1.042e-90,,,1.042e-90
208.2211,5.855e-90,,,5.855e-90
208.2213,1.634e-88,,,1.634e-88
208.2215,3.864e-87,,,3.864e-87
208.2217,7.746e-86,,,7.746e-86
208.2218,3.260e-85,,,3.260e-85
208.222,5.099e-84,,,5.099e-84
208.2222,6.760e-83,,,6.760e-83
208.2223,2.313e-82,,,2.313e-82
208.2225,2.394e-81,,,2.394e-81
208.2227,2.100e-80,,,2.100e-80
208.2229,1.562e-79,,,1.562e-79
208.223,4.003e-79,,,4.003e-79
208.2232,2.324e-78,,,2.324e-78
208.2234,1.144e-77,,,1.144e-77
208.2236,4.775e-77,,,4.775e-77
208.2237,9.171e-77,,,9.171e-77
208.2239,2.989e-76,,,2.989e-76
208.2241,8.263e-76,,,8.263e-76
208.2242,1.291e-75,,,1.291e-75
208.2244,2.788e-75,,,2.788e-75
208.2246,5.106e-75,,,5.106e-75
208.2248,7.930e-75,,,7.930e-75
208.2249,9.292e-75,,,9.292e-75
208.2251,1.128e-74,,,1.128e-74
208.2253,1.161e-74,,,1.161e-74
208.2254,1.107e-74,,,1.107e-74
208.2256,8.905e-75,,,8.905e-75
208.2258,6.077e-75,,,6.077e-75
208.226,3.518e-75,,,3.518e-75
208.2261,2.517e-75,,,2.517e-75
208.2263,1.139e-75,,,1.139e-75
208.2265,4.371e-76,,,4.371e-76
208.2267,1.424e-76,,,1.424e-76
208.2268,7.639e-77,,,7.639e-77
208.227,1.944e-77,,,1.944e-77
208.2272,4.199e-78,,,4.199e-78
208.2273,1.835e-78,,,1.835e-78
208.2275,3.097e-79,,,3.097e-79
208.2277,4.435e-80,,,4.435e-80
208.2279,5.426e-81,,,5.426e-81
208.228,1.889e-81,,,1.889e-81
208.2282,1.241e-81,,,1.241e-81
208.2284,7.887e-81,,,7.887e-81
208.2286,4.891e-80,,,4.891e-80
208.2287,1.146e-79,,,1.146e-79
208.2289,5.548e-79,,,5.548e-79
208.2291,2.276e-78,,,2.276e-78
208.2292,4.331e-78,,,4.331e-78
208.2294,1.385e-77,,,1.385e-77
208.2296,3.750e-77,,,3.750e-77
208.2298,8.602e-77,,,8.602e-77
208.2299,1.224e-76,,,1.224e-76
208.2301,2.189e-76,,,2.189e-76
208.2303,3.316e-76,,,3.316e-76
208.2304,3.834e-76,,,3.834e-76
208.2306,4.527e-76,,,4.527e-76
208.2308,4.527e-76,,,4.527e-76
208.231,3.834e-76,,,3.834e-76
208.2311,3.316e-76,,,3.316e-76
208.2313,2.189e-76,,,2.189e-76
