Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
208.1666,0,,,0
208.1668,0,,,0
208.1671,0,,,0
208.1674,0,,,0
208.1676,0,,,0
208.1679,9.387e-323,,,9.387e-323
208.1681,7.828e-319,,,7.828e-319
208.1684,5.310e-313,,,5.310e-313
208.1687,3.051e-307,,,3.051e-307
208.1689,1.923e-303,,,1.923e-303
208.1692,8.375e-298,,,8.375e-298
208.1694,4.388e-294,,,4.388e-294
208.1697,1.449e-288,,,1.449e-288
208.17,4.053e-283,,,4.053e-283
208.1702,1.581e-279,,,1.581e-279
208.1705,3.352e-274,,,3.352e-274
208.1707,1.087e-270,,,1.087e-270
208.171,1.748e-265,,,1.748e-265
208.1713,2.380e-260,,,2.380e-260
208.1715,5.744e-257,,,5.744e-257
208.1718,5.930e-252,,,5.930e-252
208.172,1.190e-248,,,1.190e-248
208.1723,9.314e-244,,,9.314e-244
208.1726,6.175e-239,,,6.175e-239
208.1728,9.222e-236,,,9.222e-236
208.1731,4.635e-231,,,4.635e-231
208.1733,5.756e-228,,,5.756e-228
208.1736,2.194e-223,,,2.194e-223
208.1739,7.080e-219,,,7.080e-219
208.1741,6.544e-216,,,6.544e-216
208.1744,1.601e-211,,,1.601e-211
208.1746,1.231e-208,,,1.231e-208
208.1749,2.283e-204,,,2.283e-204
208.1752,3.587e-200,,,3.587e-200
208.1754,2.052e-197,,,2.052e-197
208.1757,2.444e-193,,,2.444e-193
208.1759,1.163e-190,,,1.163e-190
208.1762,1.050e-186,,,1.050e-186
208.1765,8.032e-183,,,8.032e-183
208.1767,2.843e-180,,,2.843e-180
208.177,1.649e-176,,,1.649e-176
208.1772,4.854e-174,,,4.854e-174
208.1775,2.134e-170,,,2.134e-170
208.1778,7.948e-167,,,7.948e-167
208.178,1.741e-164,,,1.741e-164
208.1783,4.916e-161,,,4.916e-161
208.1785,8.955e-159,,,8.955e-159
208.1788,1.917e-155,,,1.917e-155
208.1791,3.476e-152,,,3.476e-152
208.1793,4.712e-150,,,4.712e-150
208.1796,6.477e-147,,,6.477e-147
208.1798,7.301e-145,,,7.301e-145
208.1801,7.609e-142,,,7.609e-142
208.1804,6.716e-139,,,6.716e-139
208.1806,5.635e-137,,,5.635e-137
