Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
200.364,1.411e-168,,,1.411e-168
200.366,7.181e-164,,,7.181e-164
200.368,3.054e-159,,,3.054e-159
200.369,5.890e-157,,,5.890e-157
200.371,1.915e-152,,,1.915e-152
200.373,5.206e-148,,,5.206e-148
200.374,8.025e-146,,,8.025e-146
200.376,1.667e-141,,,1.667e-141
200.378,2.896e-137,,,2.896e-137
200.379,3.569e-135,,,3.569e-135
200.381,4.738e-131,,,4.738e-131
200.383,5.259e-127,,,5.259e-127
200.384,5.181e-125,,,5.181e-125
200.386,4.396e-121,,,4.396e-121
200.388,3.118e-117,,,3.118e-117
200.389,2.455e-115,,,2.455e-115
200.391,1.331e-111,,,1.331e-111
200.393,6.033e-108,,,6.033e-108
200.394,3.798e-106,,,3.798e-106
200.396,1.316e-102,,,1.316e-102
200.398,3.811e-99,,,3.811e-99
200.399,1.918e-97,,,1.918e-97
200.401,4.245e-94,,,4.245e-94
200.403,7.858e-91,,,7.858e-91
200.404,3.161e-89,,,3.161e-89
200.406,4.472e-86,,,4.472e-86
200.408,5.289e-83,,,5.289e-83
200.409,1.701e-81,,,1.701e-81
200.411,1.537e-78,,,1.537e-78
200.413,1.162e-75,,,1.162e-75
200.414,2.987e-74,,,2.987e-74
200.416,1.725e-71,,,1.725e-71
200.418,8.333e-69,,,8.333e-69
200.419,1.712e-67,,,1.712e-67
200.421,6.321e-65,,,6.321e-65
200.423,1.951e-62,,,1.951e-62
200.424,3.204e-61,,,3.204e-61
200.426,7.559e-59,,,7.559e-59
200.428,1.491e-56,,,1.491e-56
200.429,1.957e-55,,,1.957e-55
200.431,2.951e-53,,,2.951e-53
200.433,3.719e-51,,,3.719e-51
200.434,3.903e-50,,,3.903e-50
200.436,3.760e-48,,,3.760e-48
200.438,3.028e-46,,,3.028e-46
200.439,2.541e-45,,,2.541e-45
200.441,1.564e-43,,,1.564e-43
200.443,8.048e-42,,,8.048e-42
200.444,5.398e-41,,,5.398e-41
200.446,2.124e-39,,,2.124e-39
200.448,6.983e-38,,,6.983e-38
200.449,3.744e-37,,,3.744e-37
200.451,9.412e-36,,,9.412e-36
200.453,1.978e-34,,,1.978e-34
200.454,8.477e-34,,,8.477e-34
200.456,1.362e-32,,,1.362e-32
200.458,1.828e-31,,,1.828e-31
200.459,6.265e-31,,,6.265e-31
200.461,6.430e-30,,,6.430e-30
200.463,5.518e-29,,,5.518e-29
200.464,1.511e-28,,,1.511e-28
200.466,9.913e-28,,,9.913e-28
200.468,5.436e-27,,,5.436e-27
200.469,1.190e-26,,,1.190e-26
200.471,4.988e-26,,,4.988e-26
200.473,1.748e-25,,,1.748e-25
200.474,3.059e-25,,,3.059e-25
200.476,8.194e-25,,,8.194e-25
200.478,1.835e-24,,,1.835e-24
200.479,2.567e-24,,,2.567e-24
200.481,4.393e-24,,,4.393e-24
200.483,6.286e-24,,,6.286e-24
200.484,7.031e-24,,,7.031e-24
200.486,7.690e-24,,,7.690e-24
200.488,7.031e-24,,,7.031e-24
200.489,6.286e-24,,,6.286e-24
200.491,4.393e-24,,,4.393e-24
200.493,2.567e-24,,,2.567e-24
200.494,1.835e-24,,,1.835e-24
200.496,8.194e-25,,,8.194e-25
200.498,3.059e-25,,,3.059e-25
200.499,1.748e-25,,,1.748e-25
200.501,4.988e-26,,,4.988e-26
200.503,1.190e-26,,,1.190e-26
200.504,5.436e-27,,,5.436e-27
200.506,9.913e-28,,,9.913e-28
200.508,1.511e-28,,,1.511e-28
200.509,5.518e-29,,,5.518e-29
200.511,6.430e-30,,,6.430e-30
200.513,6.265e-31,,,6.265e-31
200.514,1.828e-31,,,1.828e-31
200.516,1.362e-32,,,1.362e-32
200.518,8.477e-34,,,8.477e-34
200.519,1.978e-34,,,1.978e-34
200.521,9.412e-36,,,9.412e-36
200.523,3.744e-37,,,3.744e-37
200.524,6.983e-38,,,6.983e-38
200.526,2.124e-39,,,2.124e-39
200.528,5.398e-41,,,5.398e-41
200.529,8.048e-42,,,8.048e-42
200.531,1.564e-43,,,1.564e-43
200.533,2.541e-45,,,2.541e-45
200.534,3.028e-46,,,3.028e-46
200.536,3.760e-48,,,3.760e-48
200.538,3.903e-50,,,3.903e-50
200.539,3.719e-51,,,3.719e-51
200.541,2.951e-53,,,2.951e-53
200.543,1.957e-55,,,1.957e-55
200.544,1.491e-56,,,1.491e-56
