Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
199.55,1.374e-16,,1.374e-16
199.58,5.801e-15,,5.801e-15
199.6,6.366e-14,,6.366e-14
199.63,1.992e-12,,1.992e-12
199.65,1.791e-11,,1.791e-11
199.68,4.154e-10,,4.154e-10
199.7,3.057e-9,,3.057e-9
199.73,5.257e-8,,5.257e-8
199.75,3.170e-7,,3.170e-7
199.78,4.040e-6,,4.040e-6
199.8,1.995e-5,,1.995e-5
199.83,1.885e-4,,1.885e-4
199.85,7.622e-4,,7.622e-4
199.88,5.338e-3,,5.338e-3
199.9,1.768e-2,,1.768e-2
199.93,9.178e-2,,9.178e-2
199.95,2.490e-1,,2.490e-1
199.97,6.238e-1,,6.238e-1
200,2.129e+0,,2.129e+0
200.02,4.368e+0,,4.368e+0
200.05,1.105e+1,,1.105e+1
200.07,1.857e+1,,1.857e+1
200.1,3.483e+1,,3.483e+1
200.12,4.793e+1,,4.793e+1
200.15,6.663e+1,,6.663e+1
200.17,7.511e+1,,7.511e+1
200.2,7.739e+1,,7.739e+1
200.22,7.145e+1,,7.145e+1
200.25,5.457e+1,,5.457e+1
200.27,4.127e+1,,4.127e+1
200.3,2.336e+1,,2.336e+1
200.32,1.447e+1,,1.447e+1
200.34,8.274e+0,,8.274e+0
200.37,3.080e+0,,3.080e+0
200.39,1.443e+0,,1.443e+0
200.42,3.981e-1,,3.981e-1
200.44,1.527e-1,,1.527e-1
200.47,3.123e-2,,3.123e-2
200.49,9.813e-3,,9.813e-3
200.52,1.488e-3,,1.488e-3
200.54,3.828e-4,,3.828e-4
200.57,4.302e-5,,4.302e-5
200.59,9.067e-6,,9.067e-6
200.62,7.553e-7,,7.553e-7
200.64,1.304e-7,,1.304e-7
200.67,8.051e-9,,8.051e-9
200.69,1.138e-9,,1.138e-9
200.71,1.486e-10,,1.486e-10
200.74,6.033e-12,,6.033e-12
200.76,6.449e-13,,6.449e-13
200.79,1.941e-14,,1.941e-14
200.81,1.700e-15,,1.700e-15
203.08,1.330e-14,,1.330e-14
203.11,5.324e-13,,5.324e-13
203.13,5.603e-12,,5.603e-12
203.16,1.656e-10,,1.656e-10
203.18,1.438e-9,,1.438e-9
203.21,3.188e-8,,3.188e-8
203.23,2.286e-7,,2.286e-7
203.26,3.801e-6,,3.801e-6
203.28,2.250e-5,,2.250e-5
203.31,2.807e-4,,2.807e-4
203.33,1.373e-3,,1.373e-3
203.36,1.286e-2,,1.286e-2
203.38,5.198e-2,,5.198e-2
203.41,3.661e-1,,3.661e-1
203.43,1.223e+0,,1.223e+0
203.45,3.788e+0,,3.788e+0
203.48,1.791e+1,,1.791e+1
203.5,4.592e+1,,4.592e+1
203.53,1.636e+2,,1.636e+2
203.55,3.474e+2,,3.474e+2
203.58,9.338e+2,,9.338e+2
203.6,1.644e+3,,1.644e+3
203.63,3.339e+3,,3.339e+3
203.65,4.878e+3,,4.878e+3
203.68,7.495e+3,,7.495e+3
203.7,9.096e+3,,9.096e+3
203.73,1.059e+4,,1.059e+4
203.75,1.068e+4,,1.068e+4
203.78,9.452e+3,,9.452e+3
203.8,7.977e+3,,7.977e+3
203.82,6.318e+3,,6.318e+3
203.85,4.110e+3,,4.110e+3
203.87,3.114e+3,,3.114e+3
203.9,2.494e+3,,2.494e+3
203.92,2.577e+3,,2.577e+3
203.95,3.100e+3,,3.100e+3
203.97,3.471e+3,,3.471e+3
204,3.710e+3,,3.710e+3
204.02,3.556e+3,,3.556e+3
204.05,2.901e+3,,2.901e+3
