Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
200.32,1.382e-137,,,1.382e-137
200.322,1.078e-133,,,1.078e-133
200.323,8.903e-132,,,8.903e-132
200.325,5.309e-128,,,5.309e-128
200.327,2.646e-124,,,2.646e-124
200.328,1.747e-122,,,1.747e-122
200.33,6.654e-119,,,6.654e-119
200.332,2.119e-115,,,2.119e-115
200.333,1.118e-113,,,1.118e-113
200.335,2.721e-110,,,2.721e-110
200.337,5.534e-107,,,5.534e-107
200.338,2.334e-105,,,2.334e-105
200.34,3.628e-102,,,3.628e-102
200.342,4.715e-99,,,4.715e-99
200.343,1.589e-97,,,1.589e-97
200.345,1.578e-94,,,1.578e-94
200.347,1.310e-91,,,1.310e-91
200.348,3.530e-90,,,3.530e-90
200.35,2.240e-87,,,2.240e-87
200.352,1.188e-84,,,1.188e-84
200.353,2.558e-83,,,2.558e-83
200.355,1.037e-80,,,1.037e-80
200.357,3.512e-78,,,3.512e-78
200.358,6.045e-77,,,6.045e-77
200.36,1.565e-74,,,1.565e-74
200.362,3.388e-72,,,3.388e-72
200.363,4.660e-71,,,4.660e-71
200.365,7.708e-69,,,7.708e-69
200.367,1.066e-66,,,1.066e-66
200.368,1.172e-65,,,1.172e-65
200.37,1.238e-63,,,1.238e-63
200.372,1.094e-61,,,1.094e-61
200.373,9.611e-61,,,9.611e-61
200.375,6.488e-59,,,6.488e-59
200.377,3.661e-57,,,3.661e-57
200.378,2.572e-56,,,2.572e-56
200.38,1.109e-54,,,1.109e-54
200.382,3.998e-53,,,3.998e-53
200.383,2.244e-52,,,2.244e-52
200.385,6.183e-51,,,6.183e-51
200.387,1.424e-49,,,1.424e-49
200.388,6.389e-49,,,6.389e-49
200.39,1.124e-47,,,1.124e-47
200.392,1.654e-46,,,1.654e-46
200.393,5.933e-46,,,5.933e-46
200.395,6.670e-45,,,6.670e-45
200.397,6.269e-44,,,6.269e-44
200.398,1.797e-43,,,1.797e-43
200.4,1.291e-42,,,1.291e-42
200.402,7.750e-42,,,7.750e-42
200.403,1.776e-41,,,1.776e-41
200.405,8.147e-41,,,8.147e-41
200.407,3.125e-40,,,3.125e-40
200.408,5.722e-40,,,5.722e-40
200.41,1.677e-39,,,1.677e-39
200.412,4.110e-39,,,4.110e-39
200.413,6.016e-39,,,6.016e-39
200.415,1.126e-38,,,1.126e-38
200.417,1.763e-38,,,1.763e-38
200.418,2.063e-38,,,2.063e-38
200.42,2.468e-38,,,2.468e-38
200.422,2.468e-38,,,2.468e-38
200.423,2.307e-38,,,2.307e-38
200.425,1.763e-38,,,1.763e-38
200.427,1.126e-38,,,1.126e-38
200.428,8.418e-39,,,8.418e-39
200.43,4.110e-39,,,4.110e-39
200.432,1.677e-39,,,1.677e-39
200.433,1.002e-39,,,1.002e-39
200.435,3.125e-40,,,3.125e-40
200.437,8.147e-41,,,8.147e-41
200.438,3.889e-41,,,3.889e-41
200.44,7.750e-42,,,7.750e-42
200.442,1.291e-42,,,1.291e-42
200.443,4.925e-43,,,4.925e-43
200.445,6.269e-44,,,6.269e-44
200.447,6.670e-45,,,6.670e-45
200.448,2.034e-45,,,2.034e-45
200.45,1.654e-46,,,1.654e-46
200.452,1.124e-47,,,1.124e-47
200.453,2.741e-48,,,2.741e-48
200.455,1.424e-49,,,1.424e-49
200.457,6.183e-51,,,6.183e-51
200.458,1.205e-51,,,1.205e-51
200.46,3.998e-53,,,3.998e-53
200.462,1.109e-54,,,1.109e-54
200.463,1.727e-55,,,1.727e-55
200.465,3.661e-57,,,3.661e-57
200.467,6.488e-59,,,6.488e-59
200.468,8.076e-60,,,8.076e-60
200.47,1.849e-61,,,1.849e-61
200.472,7.264e-60,,,7.264e-60
200.473,6.660e-59,,,6.660e-59
200.475,4.897e-57,,,4.897e-57
200.477,3.010e-55,,,3.010e-55
200.478,2.206e-54,,,2.206e-54
200.48,1.037e-52,,,1.037e-52
200.482,4.073e-51,,,4.073e-51
200.483,2.387e-50,,,2.387e-50
200.485,7.168e-49,,,7.168e-49
200.487,1.800e-47,,,1.800e-47
200.488,8.432e-47,,,8.432e-47
200.49,1.618e-45,,,1.618e-45
200.492,2.597e-44,,,2.597e-44
200.493,9.728e-44,,,9.728e-44
200.495,1.193e-42,,,1.193e-42
200.497,1.224e-41,,,1.224e-41
200.498,3.665e-41,,,3.665e-41
200.5,2.873e-40,,,2.873e-40
200.502,1.883e-39,,,1.883e-39
200.503,4.509e-39,,,4.509e-39
200.505,2.259e-38,,,2.259e-38
200.507,9.464e-38,,,9.464e-38
200.508,1.811e-37,,,1.811e-37
200.51,5.800e-37,,,5.800e-37
200.512,1.553e-36,,,1.553e-36
200.513,2.376e-36,,,2.376e-36
200.515,4.863e-36,,,4.863e-36
200.517,8.322e-36,,,8.322e-36
200.518,1.018e-35,,,1.018e-35
200.52,1.332e-35,,,1.332e-35
200.522,1.456e-35,,,1.456e-35
