Wavelength (nm),Sum(calc),Ni I (2.4e-1),Ni II (7.6e-1),Ni III (2.5e-5)
200.418,2.439e-18,2.439e-18,,
200.428,7.500e-17,7.500e-17,,
200.438,2.037e-15,2.037e-15,,
200.448,4.888e-14,4.888e-14,,
200.458,1.036e-12,1.036e-12,,
200.468,1.939e-11,1.939e-11,,
200.477,2.435e-10,2.435e-10,,
200.487,3.600e-9,3.600e-9,,
200.497,4.702e-8,4.702e-8,,
200.507,5.423e-7,5.423e-7,,
200.517,5.525e-6,5.525e-6,,
200.527,4.972e-5,4.972e-5,,
200.537,3.952e-4,3.952e-4,,
200.547,2.775e-3,2.775e-3,,
200.557,1.721e-2,1.721e-2,,
200.567,9.424e-2,9.424e-2,,
200.577,4.559e-1,4.559e-1,,
200.587,1.948e+0,1.948e+0,,
200.597,7.352e+0,7.352e+0,,
200.607,2.451e+1,2.451e+1,,
200.617,7.217e+1,7.217e+1,,
200.627,1.877e+2,1.877e+2,,
200.637,4.312e+2,4.312e+2,,
200.647,8.749e+2,8.749e+2,,
200.657,1.568e+3,1.568e+3,,
200.667,2.482e+3,2.482e+3,,
200.677,3.470e+3,3.470e+3,,
200.687,4.285e+3,4.285e+3,,
200.696,4.660e+3,4.660e+3,,
200.706,4.545e+3,4.545e+3,,
200.716,3.916e+3,3.916e+3,,
200.726,2.981e+3,2.981e+3,,
200.736,2.003e+3,2.003e+3,,
200.746,1.189e+3,1.189e+3,,
200.756,6.238e+2,6.238e+2,,
200.766,2.889e+2,2.889e+2,,
200.776,1.182e+2,1.182e+2,,
200.786,4.272e+1,4.272e+1,,
200.796,1.363e+1,1.363e+1,,
200.806,3.844e+0,3.844e+0,,
200.816,9.571e-1,9.571e-1,,
200.826,2.105e-1,2.105e-1,,
200.836,4.090e-2,4.090e-2,,
200.846,7.017e-3,7.017e-3,,
200.856,1.064e-3,1.064e-3,,
200.866,1.424e-4,1.424e-4,,
200.876,1.683e-5,1.683e-5,,
200.886,1.758e-6,1.758e-6,,
200.896,1.622e-7,1.622e-7,,
200.906,1.321e-8,1.321e-8,,
200.915,1.244e-9,1.244e-9,,
200.925,8.007e-11,8.007e-11,,
200.935,4.552e-12,4.552e-12,,
200.945,2.285e-13,2.285e-13,,
200.955,1.014e-14,1.014e-14,,
200.965,3.970e-16,3.970e-16,,
200.975,1.374e-17,1.374e-17,,
200.985,4.198e-19,4.198e-19,,
201.144,2.431e-17,2.431e-17,,
201.154,7.204e-16,7.204e-16,,
201.164,1.888e-14,1.888e-14,,
201.174,4.372e-13,4.372e-13,,
201.184,8.954e-12,8.954e-12,,
201.194,1.621e-10,1.621e-10,,
201.204,2.594e-9,2.594e-9,,
201.214,3.671e-8,3.671e-8,,
