Wavelength (nm),Sum(calc),Pb I (1.4e-1),Pb II (8.6e-1)
201.98,6.956e-49,6.956e-49,
201.985,1.493e-46,1.493e-46,
201.99,2.834e-44,2.834e-44,
201.995,4.762e-42,4.762e-42,
202,7.079e-40,7.079e-40,
202.005,9.314e-38,9.314e-38,
202.01,1.084e-35,1.084e-35,
202.015,1.117e-33,1.117e-33,
202.02,1.018e-31,1.018e-31,
202.026,1.948e-29,1.948e-29,
202.031,1.357e-27,1.357e-27,
202.036,8.361e-26,8.361e-26,
202.041,4.560e-24,4.560e-24,
202.046,2.201e-22,2.201e-22,
202.051,9.400e-21,9.400e-21,
202.056,3.553e-19,3.553e-19,
202.061,1.188e-17,1.188e-17,
202.066,3.516e-16,3.516e-16,
202.071,9.206e-15,9.206e-15,
202.076,2.133e-13,2.133e-13,
202.081,4.374e-12,4.374e-12,
202.086,7.936e-11,7.936e-11,
202.091,1.274e-9,1.274e-9,
202.096,1.810e-8,1.810e-8,
202.101,2.276e-7,2.276e-7,
202.106,2.532e-6,2.532e-6,
202.111,2.492e-5,2.492e-5,
202.116,2.171e-4,2.171e-4,
202.121,1.673e-3,1.673e-3,
202.126,1.141e-2,1.141e-2,
202.131,6.889e-2,6.889e-2,
202.136,3.679e-1,3.679e-1,
202.141,1.739e+0,1.739e+0,
202.146,7.273e+0,7.273e+0,
202.151,2.691e+1,2.691e+1,
202.156,8.814e+1,8.814e+1,
202.161,2.554e+2,2.554e+2,
202.166,6.549e+2,6.549e+2,
202.171,1.486e+3,1.486e+3,
202.176,2.984e+3,2.984e+3,
202.181,5.301e+3,5.301e+3,
202.186,8.335e+3,8.335e+3,
202.191,1.160e+4,1.160e+4,
202.196,1.428e+4,1.428e+4,
202.201,1.555e+4,1.555e+4,
202.206,1.499e+4,1.499e+4,
202.211,1.279e+4,1.279e+4,
202.216,9.652e+3,9.652e+3,
202.221,6.447e+3,6.447e+3,
202.226,3.810e+3,3.810e+3,
202.231,1.993e+3,1.993e+3,
202.236,9.223e+2,9.223e+2,
202.241,3.777e+2,3.777e+2,
202.246,1.369e+2,1.369e+2,
202.251,4.390e+1,4.390e+1,
202.256,1.246e+1,1.246e+1,
202.261,3.128e+0,3.128e+0,
202.266,6.950e-1,6.950e-1,
202.271,1.366e-1,1.366e-1,
202.276,2.377e-2,2.377e-2,
202.281,3.660e-3,3.660e-3,
202.286,4.986e-4,4.986e-4,
202.291,6.011e-5,6.011e-5,
202.296,6.413e-6,6.413e-6,
202.301,6.053e-7,6.053e-7,
202.306,5.056e-8,5.056e-8,
202.311,3.738e-9,3.738e-9,
202.316,2.445e-10,2.445e-10,
202.321,1.415e-11,1.415e-11,
202.326,7.246e-13,7.246e-13,
202.332,1.743e-14,1.743e-14,
202.337,6.821e-16,6.821e-16,
202.342,2.362e-17,2.362e-17,
202.347,7.238e-19,7.238e-19,
202.352,1.963e-20,1.963e-20,
202.357,4.710e-22,4.710e-22,
202.362,1.000e-23,1.000e-23,
202.367,1.879e-25,1.879e-25,
202.372,3.124e-27,3.124e-27,
202.377,4.595e-29,4.595e-29,
202.382,5.983e-31,5.983e-31,
202.387,6.892e-33,6.892e-33,
202.392,7.025e-35,7.025e-35,
202.397,6.337e-37,6.337e-37,
202.402,5.058e-39,5.058e-39,
202.407,3.573e-41,3.573e-41,
202.412,2.233e-43,2.233e-43,
202.417,1.235e-45,1.235e-45,
205.106,5.043e-47,5.043e-47,
205.111,9.199e-45,9.199e-45,
205.116,1.491e-42,1.491e-42,
205.121,2.145e-40,2.145e-40,
205.126,2.742e-38,2.742e-38,
205.131,3.113e-36,3.113e-36,
205.136,3.139e-34,3.139e-34,
205.141,2.811e-32,2.811e-32,
205.146,2.235e-30,2.235e-30,
205.151,1.579e-28,1.579e-28,
205.156,9.908e-27,9.908e-27,
205.161,5.521e-25,5.521e-25,
205.166,2.733e-23,2.733e-23,
205.171,1.201e-21,1.201e-21,
205.176,4.690e-20,4.690e-20,
205.181,1.626e-18,1.626e-18,
205.186,5.009e-17,5.009e-17,
205.191,1.370e-15,1.370e-15,
205.196,3.328e-14,3.328e-14,
205.201,7.182e-13,7.182e-13,
205.206,1.376e-11,1.376e-11,
205.211,2.343e-10,2.343e-10,
205.216,3.542e-9,3.542e-9,
205.221,4.756e-8,4.756e-8,
205.226,5.671e-7,5.671e-7,
205.231,6.007e-6,6.007e-6,
205.236,5.651e-5,5.651e-5,
205.241,4.721e-4,4.721e-4,
205.246,3.504e-3,3.504e-3,
205.251,2.309e-2,2.309e-2,
205.256,1.352e-1,1.352e-1,
205.261,7.028e-1,7.028e-1,
205.266,3.245e+0,3.245e+0,
205.271,1.331e+1,1.331e+1,
205.276,4.848e+1,4.848e+1,
205.281,1.569e+2,1.569e+2,
205.286,4.507e+2,4.507e+2,
205.291,1.150e+3,1.150e+3,
205.296,2.607e+3,2.607e+3,
205.301,5.249e+3,5.249e+3,
205.306,9.385e+3,9.385e+3,
205.311,1.490e+4,1.490e+4,
205.316,2.102e+4,2.102e+4,
205.321,2.634e+4,2.634e+4,
205.326,2.930e+4,2.930e+4,
205.331,2.896e+4,2.896e+4,
205.336,2.542e+4,2.542e+4,
205.341,1.981e+4,1.981e+4,
205.346,1.372e+4,1.372e+4,
205.351,8.435e+3,8.435e+3,
205.356,4.607e+3,4.607e+3,
205.361,2.235e+3,2.235e+3,
205.366,9.628e+2,9.628e+2,
205.371,3.684e+2,3.684e+2,
205.376,1.252e+2,1.252e+2,
205.381,3.779e+1,3.779e+1,
205.387,7.677e+0,7.677e+0,
205.392,1.785e+0,1.785e+0,
205.397,3.687e-1,3.687e-1,
205.402,6.762e-2,6.762e-2,
205.407,1.102e-2,1.102e-2,
205.412,1.594e-3,1.594e-3,
205.417,2.049e-4,2.049e-4,
205.422,2.338e-5,2.338e-5,
