Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
199.955,2.497e-36,,,2.497e-36
199.96,1.044e-34,,,1.044e-34
199.965,3.855e-33,,,3.855e-33
199.97,1.256e-31,,,1.256e-31
199.975,3.612e-30,,,3.612e-30
199.98,9.169e-29,,,9.169e-29
199.985,2.054e-27,,,2.054e-27
199.99,4.061e-26,,,4.061e-26
199.995,7.088e-25,,,7.088e-25
200,1.092e-23,,,1.092e-23
200.005,1.484e-22,,,1.484e-22
200.01,1.781e-21,,,1.781e-21
200.015,1.886e-20,,,1.886e-20
200.02,1.763e-19,,,1.763e-19
200.025,1.455e-18,,,1.455e-18
200.03,1.059e-17,,,1.059e-17
200.035,6.807e-17,,,6.807e-17
200.04,3.861e-16,,,3.861e-16
200.045,1.933e-15,,,1.933e-15
200.05,8.543e-15,,,8.543e-15
200.055,3.332e-14,,,3.332e-14
200.06,1.147e-13,,,1.147e-13
200.065,3.485e-13,,,3.485e-13
200.07,9.346e-13,,,9.346e-13
200.075,2.212e-12,,,2.212e-12
200.08,4.621e-12,,,4.621e-12
200.085,8.520e-12,,,8.520e-12
200.09,1.387e-11,,,1.387e-11
200.095,1.992e-11,,,1.992e-11
200.099,2.432e-11,,,2.432e-11
200.104,2.790e-11,,,2.790e-11
200.109,2.825e-11,,,2.825e-11
200.114,2.525e-11,,,2.525e-11
200.119,1.992e-11,,,1.992e-11
200.124,1.387e-11,,,1.387e-11
200.129,8.520e-12,,,8.520e-12
200.134,4.621e-12,,,4.621e-12
200.139,2.212e-12,,,2.212e-12
200.144,9.346e-13,,,9.346e-13
200.149,3.485e-13,,,3.485e-13
200.154,1.147e-13,,,1.147e-13
200.159,3.332e-14,,,3.332e-14
200.164,8.543e-15,,,8.543e-15
200.169,1.933e-15,,,1.933e-15
200.174,3.861e-16,,,3.861e-16
200.179,6.807e-17,,,6.807e-17
200.184,1.059e-17,,,1.059e-17
200.189,1.455e-18,,,1.455e-18
200.194,1.763e-19,,,1.763e-19
200.199,1.886e-20,,,1.886e-20
200.204,1.781e-21,,,1.781e-21
200.209,1.484e-22,,,1.484e-22
200.214,1.092e-23,,,1.092e-23
200.219,7.088e-25,,,7.088e-25
200.224,4.061e-26,,,4.061e-26
200.229,2.054e-27,,,2.054e-27
200.234,9.169e-29,,,9.169e-29
200.239,3.612e-30,,,3.612e-30
200.244,1.256e-31,,,1.256e-31
200.249,3.855e-33,,,3.855e-33
200.254,1.044e-34,,,1.044e-34
200.344,1.663e-25,,1.663e-25,8.760e-35
200.349,6.686e-24,,6.686e-24,8.666e-35
200.354,2.374e-22,,2.374e-22,8.573e-35
200.359,7.444e-21,,7.444e-21,8.479e-35
200.364,2.061e-19,,2.061e-19,8.386e-35
200.369,5.040e-18,,5.040e-18,8.292e-35
200.374,1.088e-16,,1.088e-16,8.199e-35
200.379,2.075e-15,,2.075e-15,8.105e-35
200.384,3.493e-14,,3.493e-14,8.012e-35
200.389,5.193e-13,,5.193e-13,7.918e-35
200.394,6.817e-12,,6.817e-12,7.825e-35
200.399,7.902e-11,,7.902e-11,7.731e-35
200.404,8.089e-10,,8.089e-10,7.638e-35
200.409,7.312e-9,,7.312e-9,7.544e-35
200.414,5.837e-8,,5.837e-8,7.451e-35
200.419,4.114e-7,,4.114e-7,7.357e-35
200.424,2.561e-6,,2.561e-6,7.263e-35
200.429,1.407e-5,,1.407e-5,7.170e-35
200.434,6.831e-5,,6.831e-5,7.076e-35
200.439,2.927e-4,,2.927e-4,6.983e-35
200.444,1.108e-3,,1.108e-3,6.889e-35
200.449,3.702e-3,,3.702e-3,6.796e-35
200.454,1.093e-2,,1.093e-2,6.702e-35
200.459,2.847e-2,,2.847e-2,6.609e-35
200.464,6.551e-2,,6.551e-2,6.515e-35
200.469,1.331e-1,,1.331e-1,6.422e-35
200.474,2.388e-1,,2.388e-1,6.328e-35
200.479,3.784e-1,,3.784e-1,6.235e-35
200.484,5.295e-1,,5.295e-1,6.141e-35
200.489,6.541e-1,,6.541e-1,6.048e-35
200.494,7.136e-1,,7.136e-1,5.954e-35
200.499,6.875e-1,,6.875e-1,5.861e-35
200.504,5.849e-1,,5.849e-1,5.767e-35
200.509,4.393e-1,,4.393e-1,5.673e-35
200.514,2.914e-1,,2.914e-1,5.580e-35
200.519,1.707e-1,,1.707e-1,5.486e-35
200.524,8.830e-2,,8.830e-2,5.393e-35
200.529,4.033e-2,,4.033e-2,5.299e-35
200.534,1.627e-2,,1.627e-2,5.206e-35
200.539,5.793e-3,,5.793e-3,5.112e-35
200.544,1.822e-3,,1.822e-3,5.019e-35
200.549,5.060e-4,,5.060e-4,4.925e-35
200.554,1.241e-4,,1.241e-4,4.832e-35
200.559,2.687e-5,,2.687e-5,4.738e-35
200.563,7.226e-6,,7.226e-6,4.663e-35
200.568,1.251e-6,,1.251e-6,4.570e-35
200.573,1.912e-7,,1.912e-7,4.476e-35
200.578,2.581e-8,,2.581e-8,4.383e-35
200.583,3.077e-9,,3.077e-9,4.289e-35
200.588,3.238e-10,,3.238e-10,4.196e-35
200.593,3.010e-11,,3.010e-11,4.102e-35
200.598,2.471e-12,,2.471e-12,4.009e-35
200.603,1.791e-13,,1.791e-13,3.915e-35
200.608,1.146e-14,,1.146e-14,3.822e-35
200.613,6.476e-16,,6.476e-16,3.728e-35
200.618,3.232e-17,,3.232e-17,3.635e-35
200.623,1.424e-18,,1.424e-18,3.541e-35
200.628,5.542e-20,,5.542e-20,3.447e-35
200.633,1.904e-21,,1.904e-21,3.354e-35
200.638,5.779e-23,,5.779e-23,3.260e-35
200.643,1.548e-24,,1.548e-24,3.167e-35
200.763,9.222e-36,,1.659e-24,9.222e-36
200.768,3.652e-34,,1.664e-24,3.652e-34
200.773,1.278e-32,,1.669e-24,1.278e-32
200.778,3.949e-31,,1.673e-24,3.949e-31
200.783,1.078e-29,,1.678e-24,1.078e-29
200.788,2.602e-28,,1.682e-24,2.602e-28
200.793,5.546e-27,,1.687e-24,5.546e-27
200.798,1.045e-25,,1.692e-24,1.045e-25
200.803,1.738e-24,,1.696e-24,1.738e-24
200.808,2.555e-23,,1.701e-24,2.555e-23
200.813,3.318e-22,,1.706e-24,3.318e-22
200.818,3.808e-21,,1.710e-24,3.808e-21
200.823,3.860e-20,,1.715e-24,3.860e-20
200.828,3.458e-19,,1.719e-24,3.458e-19
200.833,2.736e-18,,1.724e-24,2.736e-18
200.838,1.913e-17,,1.729e-24,1.913e-17
200.843,1.182e-16,,1.733e-24,1.182e-16
200.848,6.448e-16,,1.738e-24,6.448e-16
200.853,3.109e-15,,1.743e-24,3.109e-15
200.858,1.324e-14,,1.747e-24,1.324e-14
200.863,4.984e-14,,1.752e-24,4.984e-14
200.868,1.657e-13,,1.756e-24,1.657e-13
200.873,4.869e-13,,1.761e-24,4.869e-13
200.878,1.264e-12,,1.766e-24,1.264e-12
200.883,2.898e-12,,1.770e-24,2.898e-12
200.888,5.871e-12,,1.775e-24,5.871e-12
200.893,1.051e-11,,1.779e-24,1.051e-11
200.898,1.662e-11,,1.784e-24,1.662e-11
200.903,2.322e-11,,1.789e-24,2.322e-11
200.908,2.866e-11,,1.793e-24,2.866e-11
200.913,3.125e-11,,1.798e-24,3.125e-11
200.918,3.011e-11,,1.803e-24,3.011e-11
200.923,2.564e-11,,1.807e-24,2.564e-11
200.928,1.928e-11,,1.812e-24,1.928e-11
200.933,1.282e-11,,1.816e-24,1.282e-11
200.938,7.536e-12,,1.821e-24,7.536e-12
200.943,3.953e-12,,1.826e-24,3.953e-12
200.948,1.944e-12,,1.830e-24,1.944e-12
200.953,1.138e-12,,1.835e-24,1.138e-12
200.958,1.233e-12,,1.840e-24,1.233e-12
200.963,2.104e-12,,1.844e-24,2.104e-12
200.968,3.731e-12,,1.849e-24,3.731e-12
200.973,6.014e-12,,1.853e-24,6.014e-12
200.978,8.605e-12,,1.858e-24,8.605e-12
200.983,1.088e-11,,1.863e-24,1.088e-11
200.988,1.217e-11,,1.867e-24,1.217e-11
200.993,1.202e-11,,1.872e-24,1.202e-11
200.998,1.049e-11,,1.877e-24,1.049e-11
201.003,8.087e-12,,1.881e-24,8.087e-12
201.008,5.510e-12,,1.886e-24,5.510e-12
201.013,3.317e-12,,1.890e-24,3.317e-12
201.018,1.765e-12,,1.895e-24,1.765e-12
201.023,8.293e-13,,1.900e-24,8.293e-13
201.028,3.444e-13,,1.904e-24,3.444e-13
201.032,1.560e-13,,1.908e-24,1.560e-13
201.037,5.184e-14,,1.913e-24,5.184e-14
201.042,1.522e-14,,1.917e-24,1.522e-14
201.047,3.950e-15,,1.922e-24,3.950e-15
201.052,9.056e-16,,1.926e-24,9.056e-16
201.057,1.834e-16,,1.931e-24,1.834e-16
201.062,3.283e-17,,1.936e-24,3.283e-17
201.067,5.193e-18,,1.940e-24,5.193e-18
201.072,7.256e-19,,1.945e-24,7.256e-19
201.077,8.960e-20,,1.950e-24,8.960e-20
201.082,9.775e-21,,1.954e-24,9.775e-21
201.087,9.422e-22,,1.959e-24,9.422e-22
201.092,8.025e-23,,1.963e-24,8.025e-23
201.097,6.040e-24,,1.968e-24,6.040e-24
201.102,4.016e-25,,1.973e-24,4.016e-25
201.107,2.360e-26,,1.977e-24,2.360e-26
201.112,1.225e-27,,1.982e-24,1.225e-27
201.117,5.620e-29,,1.987e-24,5.620e-29
201.122,2.278e-30,,1.991e-24,2.278e-30
201.127,8.157e-32,,1.996e-24,8.157e-32
201.132,2.581e-33,,2.000e-24,2.581e-33
201.137,7.217e-35,,2.005e-24,7.217e-35
201.342,2.195e-24,,2.195e-24,7.708e-35
201.347,8.302e-23,,8.302e-23,7.720e-35
201.352,2.777e-21,,2.777e-21,7.732e-35
201.357,8.211e-20,,8.211e-20,7.744e-35
201.362,2.147e-18,,2.147e-18,7.756e-35
201.367,4.962e-17,,4.962e-17,7.768e-35
201.372,1.014e-15,,1.014e-15,7.780e-35
201.377,1.832e-14,,1.832e-14,7.792e-35
201.382,2.927e-13,,2.927e-13,7.804e-35
201.387,4.134e-12,,4.134e-12,7.816e-35
201.392,5.162e-11,,5.162e-11,7.828e-35
201.397,5.699e-10,,5.699e-10,7.839e-35
201.402,5.562e-9,,5.562e-9,7.851e-35
201.407,4.800e-8,,4.800e-8,7.863e-35
201.412,3.662e-7,,3.662e-7,7.875e-35
201.417,2.471e-6,,2.471e-6,7.887e-35
201.422,1.474e-5,,1.474e-5,7.899e-35
201.427,7.770e-5,,7.770e-5,7.911e-35
201.432,3.622e-4,,3.622e-4,7.923e-35
201.437,1.493e-3,,1.493e-3,7.935e-35
201.442,5.441e-3,,5.441e-3,7.947e-35
201.447,1.753e-2,,1.753e-2,7.959e-35
201.452,4.994e-2,,4.994e-2,7.971e-35
201.457,1.258e-1,,1.258e-1,7.983e-35
201.462,2.800e-1,,2.800e-1,7.995e-35
201.467,5.513e-1,,5.513e-1,8.007e-35
201.472,9.596e-1,,9.596e-1,8.019e-35
201.477,1.477e+0,,1.477e+0,8.031e-35
201.482,2.009e+0,,2.009e+0,8.043e-35
201.487,2.417e+0,,2.417e+0,8.055e-35
201.492,2.570e+0,,2.570e+0,8.067e-35
201.496,2.471e+0,,2.471e+0,8.077e-35
201.501,2.105e+0,,2.105e+0,8.089e-35
201.506,1.586e+0,,1.586e+0,8.101e-35
201.511,1.056e+0,,1.056e+0,8.113e-35
201.516,6.220e-1,,6.220e-1,8.125e-35
201.521,3.238e-1,,3.238e-1,8.137e-35
201.526,1.491e-1,,1.491e-1,8.149e-35
201.531,6.066e-2,,6.066e-2,8.160e-35
201.536,2.183e-2,,2.183e-2,8.172e-35
201.541,6.943e-3,,6.943e-3,8.184e-35
201.546,1.953e-3,,1.953e-3,8.196e-35
201.551,4.856e-4,,4.856e-4,8.208e-35
201.556,1.068e-4,,1.068e-4,8.220e-35
201.561,2.075e-5,,2.075e-5,8.232e-35
201.566,3.566e-6,,3.566e-6,8.244e-35
201.571,5.430e-7,,5.430e-7,8.256e-35
201.576,8.464e-8,,8.464e-8,8.268e-35
201.581,1.106e-7,,1.106e-7,8.280e-35
201.586,7.759e-7,,7.759e-7,8.292e-35
201.591,5.211e-6,,5.211e-6,8.304e-35
201.596,3.098e-5,,3.098e-5,8.316e-35
201.601,1.629e-4,,1.629e-4,8.328e-35
201.606,7.574e-4,,7.574e-4,8.340e-35
201.611,3.114e-3,,3.114e-3,8.352e-35
201.616,1.132e-2,,1.132e-2,8.364e-35
201.621,3.641e-2,,3.641e-2,8.376e-35
201.626,1.035e-1,,1.035e-1,8.388e-35
201.631,2.603e-1,,2.603e-1,8.400e-35
201.636,5.789e-1,,5.789e-1,8.412e-35
201.641,1.138e+0,,1.138e+0,8.424e-35
201.646,1.979e+0,,1.979e+0,8.436e-35
201.651,3.044e+0,,3.044e+0,8.448e-35
201.656,4.139e+0,,4.139e+0,8.460e-35
201.661,4.977e+0,,4.977e+0,8.472e-35
201.666,5.292e+0,,5.292e+0,8.484e-35
201.671,4.977e+0,,4.977e+0,8.496e-35
201.676,4.139e+0,,4.139e+0,8.508e-35
201.681,3.044e+0,,3.044e+0,8.520e-35
201.686,1.979e+0,,1.979e+0,8.532e-35
201.691,1.138e+0,,1.138e+0,8.544e-35
201.696,5.789e-1,,5.789e-1,8.556e-35
201.701,2.603e-1,,2.603e-1,8.568e-35
201.706,1.035e-1,,1.035e-1,8.580e-35
201.711,3.641e-2,,3.641e-2,8.592e-35
201.716,1.132e-2,,1.132e-2,8.604e-35
201.721,3.114e-3,,3.114e-3,8.616e-35
201.726,7.574e-4,,7.574e-4,8.628e-35
201.731,1.629e-4,,1.629e-4,8.640e-35
201.736,3.098e-5,,3.098e-5,8.652e-35
201.741,5.211e-6,,5.211e-6,8.664e-35
201.746,7.750e-7,,7.750e-7,8.676e-35
201.751,1.019e-7,,1.019e-7,8.687e-35
201.756,1.185e-8,,1.185e-8,8.699e-35
201.761,1.219e-9,,1.219e-9,8.711e-35
201.766,1.109e-10,,1.109e-10,8.723e-35
201.771,8.920e-12,,8.920e-12,8.735e-35
201.776,6.345e-13,,6.345e-13,8.747e-35
201.781,3.991e-14,,3.991e-14,8.759e-35
201.786,2.220e-15,,2.220e-15,8.771e-35
201.791,1.092e-16,,1.092e-16,8.783e-35
201.796,4.749e-18,,4.749e-18,8.795e-35
201.801,1.827e-19,,1.827e-19,8.807e-35
201.806,6.214e-21,,6.214e-21,8.819e-35
201.811,1.869e-22,,1.869e-22,8.831e-35
201.816,4.972e-24,,4.972e-24,8.843e-35
204.834,1.607e-34,,3.204e-24,1.607e-34
204.839,6.202e-33,,3.201e-24,6.202e-33
204.844,2.125e-31,,3.199e-24,2.125e-31
204.849,6.463e-30,,3.196e-24,6.463e-30
204.854,1.745e-28,,3.193e-24,1.745e-28
204.859,4.184e-27,,3.190e-24,4.184e-27
204.864,8.905e-26,,3.187e-24,8.905e-26
204.869,1.683e-24,,3.184e-24,1.683e-24
204.874,2.823e-23,,3.181e-24,2.823e-23
204.879,4.205e-22,,3.178e-24,4.205e-22
204.884,5.561e-21,,3.175e-24,5.561e-21
204.889,6.529e-20,,3.172e-24,6.529e-20
204.894,6.806e-19,,3.169e-24,6.806e-19
204.899,6.298e-18,,3.166e-24,6.298e-18
204.904,5.175e-17,,3.163e-24,5.175e-17
204.909,3.774e-16,,3.160e-24,3.774e-16
204.914,2.444e-15,,3.158e-24,2.444e-15
204.919,1.405e-14,,3.155e-24,1.405e-14
204.924,7.174e-14,,3.152e-24,7.174e-14
204.929,3.251e-13,,3.149e-24,3.251e-13
204.934,1.308e-12,,3.146e-24,1.308e-12
204.939,4.673e-12,,3.143e-24,4.673e-12
204.944,1.482e-11,,3.140e-24,1.482e-11
204.949,4.173e-11,,3.137e-24,4.173e-11
204.954,1.043e-10,,3.134e-24,1.043e-10
204.959,2.315e-10,,3.131e-24,2.315e-10
204.964,4.561e-10,,3.128e-24,4.561e-10
204.969,7.980e-10,,3.125e-24,7.980e-10
204.974,1.239e-9,,3.122e-24,1.239e-9
204.979,1.709e-9,,3.119e-24,1.709e-9
204.984,2.092e-9,,3.117e-24,2.092e-9
204.989,2.274e-9,,3.114e-24,2.274e-9
204.994,2.194e-9,,3.111e-24,2.194e-9
204.999,1.880e-9,,3.108e-24,1.880e-9
205.004,1.430e-9,,3.105e-24,1.430e-9
205.009,9.653e-10,,3.102e-24,9.653e-10
205.014,5.787e-10,,3.099e-24,5.787e-10
205.019,3.080e-10,,3.096e-24,3.080e-10
205.024,1.456e-10,,3.093e-24,1.456e-10
205.029,6.106e-11,,3.090e-24,6.106e-11
205.034,2.274e-11,,3.087e-24,2.274e-11
205.039,7.521e-12,,3.084e-24,7.521e-12
205.044,2.208e-12,,3.081e-24,2.208e-12
205.049,5.756e-13,,3.078e-24,5.756e-13
205.054,1.332e-13,,3.076e-24,1.332e-13
205.059,2.736e-14,,3.073e-24,2.736e-14
205.064,4.991e-15,,3.070e-24,4.991e-15
205.069,8.083e-16,,3.067e-24,8.083e-16
205.074,1.162e-16,,3.064e-24,1.162e-16
205.079,1.483e-17,,3.061e-24,1.483e-17
205.084,1.681e-18,,3.058e-24,1.681e-18
205.089,1.691e-19,,3.055e-24,1.691e-19
205.094,1.511e-20,,3.052e-24,1.511e-20
205.099,1.198e-21,,3.049e-24,1.198e-21
205.104,8.437e-23,,3.046e-24,8.437e-23
205.109,5.274e-24,,3.043e-24,5.274e-24
205.114,2.927e-25,,3.040e-24,2.927e-25
205.119,1.442e-26,,3.037e-24,1.442e-26
205.124,6.309e-28,,3.035e-24,6.309e-28
205.129,2.450e-29,,3.032e-24,2.450e-29
205.134,8.448e-31,,3.029e-24,8.448e-31
205.139,2.586e-32,,3.026e-24,2.586e-32
205.658,1.512e-20,1.512e-20,2.722e-24,1.982e-32
205.663,5.534e-19,5.534e-19,2.719e-24,1.976e-32
205.668,1.800e-17,1.800e-17,2.716e-24,1.970e-32
205.673,5.203e-16,5.203e-16,2.713e-24,1.964e-32
205.677,7.050e-15,7.050e-15,2.711e-24,1.959e-32
205.682,1.648e-13,1.648e-13,2.708e-24,1.954e-32
205.687,3.423e-12,3.423e-12,2.705e-24,1.948e-32
205.692,6.318e-11,6.318e-11,2.702e-24,1.942e-32
205.697,1.036e-9,1.036e-9,2.699e-24,1.936e-32
205.702,1.511e-8,1.511e-8,2.696e-24,1.930e-32
205.707,1.957e-7,1.957e-7,2.693e-24,1.924e-32
205.712,2.253e-6,2.253e-6,2.690e-24,1.919e-32
205.717,2.305e-5,2.305e-5,2.687e-24,1.913e-32
205.722,2.095e-4,2.095e-4,2.684e-24,1.907e-32
205.727,1.693e-3,1.693e-3,2.681e-24,1.901e-32
205.732,1.215e-2,1.215e-2,2.678e-24,1.895e-32
205.737,7.755e-2,7.755e-2,2.675e-24,1.890e-32
205.742,4.397e-1,4.397e-1,2.673e-24,1.884e-32
205.747,2.215e+0,2.215e+0,2.670e-24,1.878e-32
205.752,9.920e+0,9.920e+0,2.667e-24,1.872e-32
205.757,3.947e+1,3.947e+1,2.664e-24,1.866e-32
205.762,1.396e+2,1.396e+2,2.661e-24,1.860e-32
205.767,4.386e+2,4.386e+2,2.658e-24,1.855e-32
205.772,1.225e+3,1.225e+3,2.655e-24,1.849e-32
205.777,3.039e+3,3.039e+3,2.652e-24,1.843e-32
205.782,6.703e+3,6.703e+3,2.649e-24,1.837e-32
205.787,1.314e+4,1.314e+4,2.646e-24,1.831e-32
205.792,2.288e+4,2.288e+4,2.643e-24,1.825e-32
205.797,3.540e+4,3.540e+4,2.640e-24,1.820e-32
205.802,4.869e+4,4.869e+4,2.637e-24,1.814e-32
205.807,5.951e+4,5.951e+4,2.634e-24,1.808e-32
205.812,6.464e+4,6.464e+4,2.632e-24,1.802e-32
