Wavelength (nm),Sum(calc),Ti I (5.4e-2),Ti II (9.4e-1),Ti III (1.9e-3)
200.12,7.595e-20,,,7.595e-20
200.14,8.830e-19,,,8.830e-19
200.17,2.890e-17,,,2.890e-17
200.19,2.678e-16,,,2.678e-16
200.22,6.512e-15,,,6.512e-15
200.24,4.951e-14,,,4.951e-14
200.26,3.477e-13,,,3.477e-13
200.29,5.581e-12,,,5.581e-12
200.31,3.216e-11,,,3.216e-11
200.34,3.837e-10,,,3.837e-10
200.36,1.815e-9,,,1.815e-9
200.39,1.610e-8,,,1.610e-8
200.41,6.251e-8,,,6.251e-8
200.44,4.124e-7,,,4.124e-7
200.46,1.314e-6,,,1.314e-6
200.49,6.452e-6,,,6.452e-6
200.51,1.689e-5,,,1.689e-5
200.54,6.169e-5,,,6.169e-5
200.56,1.326e-4,,,1.326e-4
200.59,3.607e-4,,,3.607e-4
200.61,6.371e-4,,,6.371e-4
200.64,1.291e-3,,,1.291e-3
200.66,1.873e-3,,,1.873e-3
200.68,2.514e-3,,,2.514e-3
200.71,3.374e-3,,,3.374e-3
200.73,3.723e-3,,,3.723e-3
200.76,3.726e-3,,,3.726e-3
200.78,3.382e-3,,,3.382e-3
200.81,2.528e-3,,,2.528e-3
200.83,1.894e-3,,,1.894e-3
200.86,1.087e-3,,,1.087e-3
200.88,7.309e-4,,,7.309e-4
200.91,5.260e-4,,,5.260e-4
200.93,6.211e-4,,,6.211e-4
200.96,1.124e-3,,,1.124e-3
200.98,1.689e-3,,,1.689e-3
201.01,2.773e-3,,,2.773e-3
201.03,3.513e-3,,,3.513e-3
201.05,4.114e-3,,,4.114e-3
201.08,4.496e-3,,,4.496e-3
201.1,4.322e-3,,,4.322e-3
201.13,3.511e-3,,,3.511e-3
201.15,2.769e-3,,,2.769e-3
201.18,1.672e-3,,,1.672e-3
201.2,1.082e-3,,,1.082e-3
201.23,4.855e-4,,,4.855e-4
201.25,2.577e-4,,,2.577e-4
201.28,8.596e-5,,,8.596e-5
201.3,3.744e-5,,,3.744e-5
201.33,9.281e-6,,,9.281e-6
201.35,3.317e-6,,,3.317e-6
201.38,6.111e-7,,,6.111e-7
201.4,1.792e-7,,,1.792e-7
201.42,4.855e-8,,,4.855e-8
201.45,5.903e-9,,,5.903e-9
201.47,1.312e-9,,,1.312e-9
201.5,1.186e-10,,,1.186e-10
201.52,2.163e-11,,,2.163e-11
201.55,1.452e-12,,,1.452e-12
201.57,2.174e-13,,,2.174e-13
201.6,1.085e-14,,,1.085e-14
201.62,1.332e-15,,,1.332e-15
201.65,4.941e-17,,,4.941e-17
201.67,4.978e-18,,,4.978e-18
209.1,1.746e-18,,,1.746e-18
209.12,1.666e-17,,,1.666e-17
209.15,4.281e-16,,,4.281e-16
209.17,3.404e-15,,,3.404e-15
209.2,6.658e-14,,,6.658e-14
209.22,4.414e-13,,,4.414e-13
209.25,6.573e-12,,,6.573e-12
209.27,3.633e-11,,,3.633e-11
209.3,4.118e-10,,,4.118e-10
209.32,1.898e-9,,,1.898e-9
209.35,1.638e-8,,,1.638e-8
209.37,6.291e-8,,,6.291e-8
209.4,4.132e-7,,,4.132e-7
209.42,1.323e-6,,,1.323e-6
209.45,6.618e-6,,,6.618e-6
209.47,1.767e-5,,,1.767e-5
209.49,4.387e-5,,,4.387e-5
209.52,1.498e-4,,,1.498e-4
209.54,3.100e-4,,,3.100e-4
209.57,8.054e-4,,,8.054e-4
209.59,1.390e-3,,,1.390e-3
209.62,2.749e-3,,,2.749e-3
209.64,3.955e-3,,,3.955e-3
209.67,5.955e-3,,,5.955e-3
209.69,7.144e-3,,,7.144e-3
209.72,8.192e-3,,,8.192e-3
209.74,8.202e-3,,,8.202e-3
209.77,7.199e-3,,,7.199e-3
209.79,6.076e-3,,,6.076e-3
209.82,4.286e-3,,,4.286e-3
209.84,3.341e-3,,,3.341e-3
209.86,2.760e-3,,,2.760e-3
209.89,2.645e-3,,,2.645e-3
209.91,2.984e-3,,,2.984e-3
209.94,3.783e-3,,,3.783e-3
209.96,4.268e-3,,,4.268e-3
209.99,4.576e-3,,,4.576e-3
210.01,4.402e-3,,,4.402e-3
210.04,3.634e-3,,,3.634e-3
210.06,2.923e-3,,,2.923e-3
210.09,1.841e-3,,,1.841e-3
210.11,1.238e-3,,,1.238e-3
210.14,6.049e-4,,,6.049e-4
210.16,3.588e-4,,,3.588e-4
210.19,1.963e-4,,,1.963e-4
210.21,1.914e-4,,,1.914e-4
210.23,2.500e-4,,,2.500e-4
210.26,4.358e-4,,,4.358e-4
210.28,6.124e-4,,,6.124e-4
210.31,9.299e-4,,,9.299e-4
210.33,1.162e-3,,,1.162e-3
210.36,1.532e-3,,,1.532e-3
210.38,1.802e-3,,,1.802e-3
210.41,2.262e-3,,,2.262e-3
210.43,2.594e-3,,,2.594e-3
210.46,3.042e-3,,,3.042e-3
210.48,3.225e-3,,,3.225e-3
210.51,3.196e-3,,,3.196e-3
210.53,2.949e-3,,,2.949e-3
210.56,2.316e-3,,,2.316e-3
210.58,1.812e-3,,,1.812e-3
210.61,1.101e-3,,,1.101e-3
210.63,7.233e-4,,,7.233e-4
210.65,4.429e-4,,,4.429e-4
210.68,1.858e-4,,,1.858e-4
210.7,9.528e-5,,,9.528e-5
210.73,3.062e-5,,,3.062e-5
210.75,1.314e-5,,,1.314e-5
210.78,3.231e-6,,,3.231e-6
210.8,1.160e-6,,,1.160e-6
210.83,2.183e-7,,,2.183e-7
210.85,6.554e-8,,,6.554e-8
210.88,9.432e-9,,,9.432e-9
210.9,2.368e-9,,,2.368e-9
210.93,2.606e-10,,,2.606e-10
210.95,5.470e-11,,,5.470e-11
210.98,4.600e-12,,,4.600e-12
211,8.071e-13,,,8.071e-13
211.02,1.318e-13,,,1.318e-13
211.05,7.605e-15,,,7.605e-15
211.07,1.038e-15,,,1.038e-15
211.1,4.575e-17,,,4.575e-17
211.12,4.883e-18,,,4.883e-18
219.27,3.591e-18,,,3.591e-18
219.29,2.984e-17,,,2.984e-17
219.32,6.311e-16,,,6.311e-16
219.34,4.444e-15,,,4.444e-15
219.37,7.335e-14,,,7.335e-14
219.39,4.377e-13,,,4.377e-13
219.42,5.637e-12,,,5.637e-12
219.44,2.851e-11,,,2.851e-11
219.46,1.350e-10,,,1.350e-10
219.49,1.228e-9,,,1.228e-9
219.51,4.929e-9,,,4.929e-9
219.54,3.499e-8,,,3.499e-8
219.56,1.190e-7,,,1.190e-7
219.59,6.593e-7,,,6.593e-7
219.61,1.900e-6,,,1.900e-6
219.64,8.214e-6,,,8.214e-6
219.66,2.007e-5,,,2.007e-5
219.69,6.768e-5,,,6.768e-5
219.71,1.401e-4,,,1.401e-4
219.74,3.688e-4,,,3.688e-4
219.76,6.472e-4,,,6.472e-4
219.79,1.329e-3,,,1.329e-3
219.81,1.977e-3,,,1.977e-3
219.83,2.752e-3,,,2.752e-3
219.86,3.992e-3,,,3.992e-3
219.88,4.710e-3,,,4.710e-3
219.91,5.332e-3,,,5.332e-3
219.93,5.332e-3,,,5.332e-3
219.96,4.710e-3,,,4.710e-3
219.98,3.992e-3,,,3.992e-3
220.01,2.752e-3,,,2.752e-3
220.03,1.977e-3,,,1.977e-3
220.06,1.063e-3,,,1.063e-3
220.08,6.472e-4,,,6.472e-4
220.11,2.716e-4,,,2.716e-4
220.13,1.401e-4,,,1.401e-4
220.16,4.588e-5,,,4.588e-5
220.18,2.007e-5,,,2.007e-5
220.2,8.214e-6,,,8.214e-6
220.23,1.900e-6,,,1.900e-6
220.25,6.593e-7,,,6.593e-7
220.28,1.190e-7,,,1.190e-7
220.3,3.499e-8,,,3.499e-8
220.33,4.929e-9,,,4.929e-9
220.35,1.228e-9,,,1.228e-9
220.38,1.350e-10,,,1.350e-10
220.4,2.851e-11,,,2.851e-11
220.43,2.445e-12,,,2.445e-12
220.45,4.377e-13,,,4.377e-13
220.48,2.929e-14,,,2.929e-14
220.5,4.444e-15,,,4.444e-15
220.53,2.320e-16,,,2.320e-16
220.55,2.984e-17,,,2.984e-17
220.58,1.215e-18,,,1.215e-18
223.09,1.952e-19,,,1.952e-19
223.12,4.960e-18,,,4.960e-18
223.14,3.958e-17,,,3.958e-17
223.17,7.913e-16,,,7.913e-16
223.19,5.382e-15,,,5.382e-15
223.22,8.468e-14,,,8.468e-14
223.24,4.909e-13,,,4.909e-13
223.27,6.078e-12,,,6.078e-12
223.29,3.003e-11,,,3.003e-11
223.31,1.392e-10,,,1.392e-10
223.34,1.232e-9,,,1.232e-9
223.36,4.868e-9,,,4.868e-9
223.39,3.391e-8,,,3.391e-8
223.41,1.142e-7,,,1.142e-7
223.44,6.260e-7,,,6.260e-7
223.46,1.797e-6,,,1.797e-6
223.49,7.751e-6,,,7.751e-6
223.51,1.896e-5,,,1.896e-5
223.54,6.437e-5,,,6.437e-5
223.56,1.342e-4,,,1.342e-4
223.59,3.585e-4,,,3.585e-4
