Wavelength (nm),Sum(calc),Zn I (3.9e-1),Zn II (6.1e-1)
202.253,8.418e-86,,8.418e-86
202.258,1.051e-82,,1.051e-82
202.263,1.162e-79,,1.162e-79
202.268,1.136e-76,,1.136e-76
202.273,9.843e-74,,9.843e-74
202.278,7.547e-71,,7.547e-71
202.283,5.123e-68,,5.123e-68
202.288,3.078e-65,,3.078e-65
202.293,1.637e-62,,1.637e-62
202.298,7.711e-60,,7.711e-60
202.303,3.214e-57,,3.214e-57
202.308,1.186e-54,,1.186e-54
202.313,3.876e-52,,3.876e-52
202.318,1.121e-49,,1.121e-49
202.323,2.870e-47,,2.870e-47
202.328,6.504e-45,,6.504e-45
202.333,1.305e-42,,1.305e-42
202.338,2.318e-40,,2.318e-40
202.343,3.645e-38,,3.645e-38
202.348,5.074e-36,,5.074e-36
202.353,6.253e-34,,6.253e-34
202.358,6.821e-32,,6.821e-32
202.363,6.587e-30,,6.587e-30
202.368,5.631e-28,,5.631e-28
202.373,4.262e-26,,4.262e-26
202.378,2.855e-24,,2.855e-24
202.383,1.694e-22,,1.694e-22
202.388,8.892e-21,,8.892e-21
202.393,4.133e-19,,4.133e-19
202.398,1.701e-17,,1.701e-17
202.403,6.195e-16,,6.195e-16
202.408,1.998e-14,,1.998e-14
202.413,5.703e-13,,5.703e-13
202.418,1.441e-11,,1.441e-11
202.423,3.224e-10,,3.224e-10
202.428,6.386e-9,,6.386e-9
202.433,1.120e-7,,1.120e-7
202.438,1.738e-6,,1.738e-6
202.443,2.387e-5,,2.387e-5
202.449,4.717e-4,,4.717e-4
202.454,4.957e-3,,4.957e-3
202.459,4.611e-2,,4.611e-2
202.464,3.797e-1,,3.797e-1
202.469,2.768e+0,,2.768e+0
202.474,1.787e+1,,1.787e+1
202.479,1.021e+2,,1.021e+2
202.484,5.163e+2,,5.163e+2
202.489,2.312e+3,,2.312e+3
202.494,9.163e+3,,9.163e+3
202.499,3.215e+4,,3.215e+4
202.504,9.987e+4,,9.987e+4
202.509,2.746e+5,,2.746e+5
202.514,6.686e+5,,6.686e+5
202.519,1.441e+6,,1.441e+6
202.524,2.749e+6,,2.749e+6
202.529,4.642e+6,,4.642e+6
202.534,6.941e+6,,6.941e+6
202.539,9.186e+6,,9.186e+6
202.544,1.076e+7,,1.076e+7
202.549,1.116e+7,,1.116e+7
202.554,1.025e+7,,1.025e+7
202.559,8.333e+6,,8.333e+6
202.564,5.996e+6,,5.996e+6
202.569,3.820e+6,,3.820e+6
202.574,2.154e+6,,2.154e+6
202.579,1.075e+6,,1.075e+6
202.584,4.753e+5,,4.753e+5
202.589,1.859e+5,,1.859e+5
202.594,6.440e+4,,6.440e+4
202.599,1.975e+4,,1.975e+4
202.604,5.360e+3,,5.360e+3
202.609,1.288e+3,,1.288e+3
202.614,2.739e+2,,2.739e+2
202.619,5.159e+1,,5.159e+1
202.624,8.599e+0,,8.599e+0
202.629,1.269e+0,,1.269e+0
202.634,1.658e-1,,1.658e-1
202.639,1.917e-2,,1.917e-2
202.644,1.963e-3,,1.963e-3
202.649,1.779e-4,,1.779e-4
202.654,1.428e-5,,1.428e-5
202.659,1.014e-6,,1.014e-6
202.664,6.375e-8,,6.375e-8
202.669,3.549e-9,,3.549e-9
202.674,1.749e-10,,1.749e-10
202.679,7.629e-12,,7.629e-12
202.685,1.514e-13,,1.514e-13
202.69,5.052e-15,,5.052e-15
202.695,1.492e-16,,1.492e-16
202.7,3.902e-18,,3.902e-18
202.705,9.031e-20,,9.031e-20
202.71,1.850e-21,,1.850e-21
202.715,3.357e-23,,3.357e-23
202.72,5.390e-25,,5.390e-25
202.725,7.662e-27,,7.662e-27
202.73,9.643e-29,,9.643e-29
202.735,1.074e-30,,1.074e-30
202.74,1.059e-32,,1.059e-32
202.745,9.250e-35,,9.250e-35
202.75,7.149e-37,,7.149e-37
202.755,4.891e-39,,4.891e-39
202.76,2.963e-41,,2.963e-41
202.765,1.589e-43,,1.589e-43
202.77,7.541e-46,,7.541e-46
202.775,3.169e-48,,3.169e-48
202.78,1.179e-50,,1.179e-50
202.785,3.882e-53,,3.882e-53
202.79,1.132e-55,,1.132e-55
202.795,2.921e-58,,2.921e-58
202.8,6.672e-61,,6.672e-61
202.805,1.350e-63,,1.350e-63
202.81,2.416e-66,,2.416e-66
202.815,3.830e-69,,3.830e-69
202.82,5.374e-72,,5.374e-72
202.825,6.675e-75,,6.675e-75
202.83,7.340e-78,,7.340e-78
202.835,7.145e-81,,7.145e-81
202.84,6.157e-84,,6.157e-84
202.845,4.697e-87,,4.697e-87
205.903,4.712e-84,,4.712e-84
205.908,4.800e-81,,4.800e-81
205.913,4.348e-78,,4.348e-78
205.918,3.501e-75,,3.501e-75
205.923,2.507e-72,,2.507e-72
205.928,1.596e-69,,1.596e-69
205.933,9.029e-67,,9.029e-67
205.938,4.543e-64,,4.543e-64
205.943,2.032e-61,,2.032e-61
205.948,8.080e-59,,8.080e-59
205.953,2.857e-56,,2.857e-56
205.958,8.979e-54,,8.979e-54
205.963,2.509e-51,,2.509e-51
205.968,6.234e-49,,6.234e-49
205.973,1.377e-46,,1.377e-46
205.978,2.704e-44,,2.704e-44
205.983,4.721e-42,,4.721e-42
205.989,1.982e-39,,1.982e-39
205.994,2.671e-37,,2.671e-37
205.999,3.201e-35,,3.201e-35
206.004,3.411e-33,,3.411e-33
206.009,3.231e-31,,3.231e-31
206.014,2.721e-29,,2.721e-29
206.019,2.037e-27,,2.037e-27
206.024,1.356e-25,,1.356e-25
206.029,8.024e-24,,8.024e-24
206.034,4.222e-22,,4.222e-22
206.039,1.975e-20,,1.975e-20
206.044,8.212e-19,,8.212e-19
206.049,3.036e-17,,3.036e-17
206.054,9.981e-16,,9.981e-16
206.059,2.917e-14,,2.917e-14
206.064,7.578e-13,,7.578e-13
206.069,1.751e-11,,1.751e-11
206.074,3.595e-10,,3.595e-10
206.079,6.564e-9,,6.564e-9
206.084,1.065e-7,,1.065e-7
206.089,1.538e-6,,1.538e-6
206.094,1.973e-5,,1.973e-5
206.099,2.250e-4,,2.250e-4
206.104,2.282e-3,,2.282e-3
206.109,2.058e-2,,2.058e-2
206.114,1.650e-1,,1.650e-1
206.119,1.176e+0,,1.176e+0
206.124,7.449e+0,,7.449e+0
206.129,4.196e+1,,4.196e+1
206.134,2.101e+2,,2.101e+2
206.139,9.356e+2,,9.356e+2
206.144,3.704e+3,,3.704e+3
206.149,1.303e+4,,1.303e+4
206.154,4.078e+4,,4.078e+4
206.159,1.134e+5,,1.134e+5
206.164,2.806e+5,,2.806e+5
206.169,6.169e+5,,6.169e+5
206.174,1.206e+6,,1.206e+6
206.179,2.096e+6,,2.096e+6
206.184,3.238e+6,,3.238e+6
206.189,4.448e+6,,4.448e+6
206.194,5.433e+6,,5.433e+6
206.199,5.899e+6,,5.899e+6
206.204,5.695e+6,,5.695e+6
206.209,4.887e+6,,4.887e+6
206.214,3.729e+6,,3.729e+6
206.219,2.530e+6,,2.530e+6
206.225,1.360e+6,,1.360e+6
206.23,7.121e+5,,7.121e+5
206.235,3.316e+5,,3.316e+5
206.24,1.373e+5,,1.373e+5
206.245,5.052e+4,,5.052e+4
206.25,1.653e+4,,1.653e+4
206.255,4.808e+3,,4.808e+3
206.26,1.244e+3,,1.244e+3
206.265,2.860e+2,,2.860e+2
206.27,5.846e+1,,5.846e+1
206.275,1.062e+1,,1.062e+1
206.28,1.717e+0,,1.717e+0
206.285,2.466e-1,,2.466e-1
206.29,3.150e-2,,3.150e-2
206.295,3.577e-3,,3.577e-3
206.3,3.611e-4,,3.611e-4
206.305,3.241e-5,,3.241e-5
206.31,2.587e-6,,2.587e-6
206.315,2.004e-7,,2.004e-7
206.32,2.127e-7,,2.127e-7
206.325,2.128e-6,,2.128e-6
206.33,2.000e-5,,2.000e-5
206.335,1.673e-4,,1.673e-4
206.34,1.244e-3,,1.244e-3
206.345,8.230e-3,,8.230e-3
206.35,4.841e-2,,4.841e-2
206.355,2.532e-1,,2.532e-1
206.36,1.178e+0,,1.178e+0
206.365,4.872e+0,,4.872e+0
206.37,1.792e+1,,1.792e+1
206.375,5.862e+1,,5.862e+1
206.38,1.705e+2,,1.705e+2
206.385,4.412e+2,,4.412e+2
206.39,1.015e+3,,1.015e+3
206.395,2.076e+3,,2.076e+3
206.4,3.777e+3,,3.777e+3
206.405,6.111e+3,,6.111e+3
206.41,8.792e+3,,8.792e+3
206.415,1.125e+4,,1.125e+4
206.42,1.280e+4,,1.280e+4
206.425,1.295e+4,,1.295e+4
206.43,1.165e+4,,1.165e+4
