wl,A,E,g,,,,,,,,,,,
246.297, ,50 368.336 ,3.5,,,,,,,,,,,
251.851, ,52 058.587 ,4.5,,,,,,,,,,,
254.868, ,50 564.294 ,2.5,,,,,,,,,,,
265.101, ,47 489.280 ,3.5,,,,,,,,,,,
270.688, ,41 198.309 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
272.338, ,48 657.336 ,3.5,,,,,,,,,,,
274.196, ,47 466.445 ,2.5,,,,,,,,,,,
275.089, ,41 992.356 ,6.5,,,,,,,,,,,
276.142, ,36 202.557 ,4.5,,,,,,,,,,,
278.427, ,44 081.375 ,1.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
278.535, ,48 151.739 ,4.5,,,,,,,,,,,
279.053, ,43 643.230 ,0.5,,,,,,,,,,,
279.142, ,45 130.529 ,2.5,,,,,,,,,,,
283.09, ,42 573.191 ,3.5,,,,,,,,,,,
283.331, ,43 460.533 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
283.331, ,45 598.301 ,3.5,,,,,,,,,,,
287.414, ,38 529.021 ,2.5,,,,,,,,,,,
290.842, ,38 832.709 ,2.5,,,,,,,,,,,
291.867, ,36 893.770 ,3.5,,,,,,,,,,,
295.594, ,36 202.557 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
296.48, ,39 394.990 ,3.5,,,,,,,,,,,
297.258, ,38 541.873 ,4.5,,,,,,,,,,,
297.691, ,37 848.550 ,2.5,,,,,,,,,,,
297.746, ,39 394.990 ,3.5,,,,,,,,,,,
298.041, ,48 024.675 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
299.087, ,35 807.568 ,4.5,,,,,,,,,,, 
299.442, ,37 652.091 ,2.5,,,,,,,,,,,
299.564, ,38 809.476 ,3.5,,,,,,,,,,,
300.879, ,35 807.568 ,4.5,,,,,,,,,,,
301.72, ,38 809.476 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
303.773, ,37 232.438 ,1.5,,,,,,,,,,, 
305.198, ,37 078.879 ,1.5,,,,,,,,,,,
305.524, ,37 232.438 ,1.5,,,,,,,,,,,
305.678, ,35 346.282 ,3.5,,,,,,,,,,,
306.301, ,39 871.833 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
308.367, ,38 809.476 ,3.5,,,,,,,,,,, 
308.444, ,37 848.550 ,2.5,,,,,,,,,,,
309.037, ,39 871.833 ,4.5,,,,,,,,,,,
310.338, ,35 807.568 ,4.5,,,,,,,,,,,
310.747, ,38 809.476 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
311.028, ,36 137.604 ,2.5,,,,,,,,,,, 
311.117, ,34 767.688 ,1.5,,,,,,,,,,,
312.753, ,35 558.702 ,3.5,,,,,,,,,,,
313.033, ,36 202.557 ,4.5,,,,,,,,,,,
313.087, ,31 930.936 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
314.46, ,34 426.037 ,2.5,,,,,,,,,,, 
314.528, ,34 426.037 ,2.5,,,,,,,,,,,
314.641, ,34 155.311 ,3.5,,,,,,,,,,,
316.415, ,33 977.140 ,3.5,,,,,,,,,,,
316.918, ,37 196.137 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
317.161, ,34 155.311 ,3.5,,,,,,,,,,, 
318.352, ,35 925.682 ,3.5,,,,,,,,,,,
318.613, ,37 196.137 ,4.5,,,,,,,,,,,
319.034, ,33 977.140 ,3.5,,,,,,,,,,,
319.483, ,36 202.557 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
319.928, ,36 923.789 ,4.5,,,,,,,,,,, 
320.171, ,38 137.682 ,5.5,,,,,,,,,,,
321.838, ,34 426.037 ,2.5,,,,,,,,,,,
321.894, ,37 970.532 ,5.5,,,,,,,,,,,
322.117, ,35 558.702 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
322.567, ,39 394.990 ,3.5,,,,,,,,,,, 
322.711, ,33 574.145 ,1.5,,,,,,,,,,,
322.936, ,33 552.582 ,2.5,,,,,,,,,,,
323.124, ,34 934.421 ,2.5,,,,,,,,,,,
323.416, ,33 552.582 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
323.489, ,38 137.682 ,5.5,,,,,,,,,,, 
323.674, ,35 346.282 ,3.5,,,,,,,,,,,
324.337, ,35 346.282 ,3.5,,,,,,,,,,,
324.667, ,34 155.311 ,3.5,,,,,,,,,,,
326.098, ,38 832.709 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
326.388, ,34 333.096 ,2.5,,,,,,,,,,, 
327.225, ,36 202.557 ,4.5,,,,,,,,,,,
327.486, ,36 202.557 ,4.5,,,,,,,,,,,
327.984, ,32 862.767 ,3.5,,,,,,,,,,,
328.522, ,34 426.037 ,2.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
329.528, ,34 333.096 ,2.5,,,,,,,,,,, 
329.688, ,36 844.305 ,2.5,,,,,,,,,,,
330.015, ,36 112.021 ,3.5,,,,,,,,,,,
330.484, ,35 925.682 ,3.5,,,,,,,,,,,
331.222, ,39 079.298 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
331.472, ,34 155.311 ,3.5,,,,,,,,,,, 
331.78, ,35 807.568 ,4.5,,,,,,,,,,,
