,,,#VALUE!,,,,,,,,,,,,,
201.391, ,487 205    ,2.5,,,,,,,,,,,,,
202.832, ,486 856    ,3.5,,,,,,,,,,,,,
218.257, ,483 373    ,2.5,,,,,,,,,,,,,
221.141, ,483 373    ,2.5,,,,,,,,,,,,,
 ,8.95E+04,114 898.72 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,9.63E+04,114 896.79 ,0.5,,,,,,,,,,,,,
 ,4.92E-04,80 650.02 ,1.5,,,,,,,,,,,,,
 ,4.05E+02,80 650.02 ,1.5,,,,,,,,,,,,,
 ,1.68E-04,80 619.50 ,0.5,,,,,,,,,,,,,
 ,8.31E-04,80 650.02 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,4.02E+02,80 650.02 ,1.5,,,,,,,,,,,,,
 ,1.64E-03,80 619.50 ,0.5,,,,,,,,,,,,,
 ,8.04E+02,80 619.50 ,0.5,,,,,,,,,,,,,
 ,1.07E+07,115 844.60 ,3.5,,,,,,,,,,,,,
 ,7.15E+05,115 844.60 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.00E+07,115 844.60 ,2.5,,,,,,,,,,,,,
 ,3.69E+05,114 898.72 ,1.5,,,,,,,,,,,,,
 ,4.11E+04,114 898.72 ,1.5,,,,,,,,,,,,,
 ,4.05E+05,114 896.79 ,0.5,,,,,,,,,,,,,
 ,9.81E+04,113 033.09 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.07E+05,113 030.25 ,0.5,,,,,,,,,,,,,
 ,9.07E+05,114 403.55 ,2.5,,,,,,,,,,,,,
232.9578,1.36E+07,114 403.55 ,3.5,,,,,,,,,,,,,
232.9578,1.27E+07,114 403.55 ,2.5,,,,,,,,,,,,,
 ,5.26E+05,113 033.09 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,5.87E+04,113 033.09 ,1.5,,,,,,,,,,,,,
 ,5.79E+05,113 030.25 ,0.5,,,,,,,,,,,,,
 ,1.44E+06,112 301.47 ,2.5,,,,,,,,,,,,,
244.959,2.16E+07,112 301.47 ,3.5,,,,,,,,,,,,,
244.959,2.02E+07,112 301.47 ,2.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,9.15E+04,110 207.99 ,1.5,,,,,,,,,,,,,
 ,1.02E+05,110 203.58 ,0.5,,,,,,,,,,,,,
 ,8.28E+05,110 207.99 ,1.5,,,,,,,,,,,,,
 ,9.23E+04,110 207.99 ,1.5,,,,,,,,,,,,,
 ,9.09E+05,110 203.58 ,0.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
266.0755,3.81E+07,109 062.35 ,3.5,,,,,,,,,,,,,
 ,2.54E+06,109 062.32 ,2.5,,,,,,,,,,,,,
266.0817,3.56E+07,109 062.32 ,2.5,,,,,,,,,,,,,
 ,3.20E+04,105 629.72 ,1.5,,,,,,,,,,,,,
279.0776,4.01E+08,71 491.06 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,2.29E-04,71 491.06 ,1.5,,,,,,,,,,,,,
 ,1.63E-03,71 490.19 ,2.5,,,,,,,,,,,,,
 ,4.02E+04,105 622.34 ,0.5,,,,,,,,,,,,,
279.5528,2.60E+08,35 760.88 ,1.5,,,,,,,,,,,,,
 ,3.80E-03,35 760.88 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,7.98E+07,71 491.06 ,1.5,,,,,,,,,,,,,
 ,2.19E-10,71 491.06 ,1.5,,,,,,,,,,,,,
279.7998,4.79E+08,71 490.19 ,2.5,,,,,,,,,,,,,
 ,8.82E-03,71 490.19 ,2.5,,,,,,,,,,,,,
280.2704,2.57E+08,35 669.31 ,0.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.25E+06,115 794.44 ,1.5,,,,,,,,,,,,,
 ,1.89E+06,115 764.99 ,0.5,,,,,,,,,,,,,
 ,2.46E+05,115 794.44 ,1.5,,,,,,,,,,,,,
 ,1.48E+06,115 794.39 ,2.5,,,,,,,,,,,,,
 ,3.77E+06,115 764.99 ,0.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.43E+06,105 629.72 ,1.5,,,,,,,,,,,,,
 ,1.59E+05,105 629.72 ,1.5,,,,,,,,,,,,,
292.8634,1.15E+08,69 804.95 ,0.5,,,,,,,,,,,,,
 ,1.57E+06,105 622.34 ,0.5,,,,,,,,,,,,,
293.6509,2.30E+08,69 804.95 ,0.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,2.85E-03,69 804.95 ,0.5,,,,,,,,,,,,,
 ,1.67E+06,114 332.74 ,1.5,,,,,,,,,,,,,
 ,3.28E+05,114 332.74 ,1.5,,,,,,,,,,,,,
296.802,1.98E+06,114 332.68 ,2.5,,,,,,,,,,,,,
296.9145,2.25E+06,114 289.36 ,0.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
297.1839,4.49E+06,114 289.36 ,0.5,,,,,,,,,,,,,
 ,5.31E+06,103 689.86 ,2.5,,,,,,,,,,,,,
310.4722,7.97E+07,103 689.92 ,3.5,,,,,,,,,,,,,
310.4809,7.44E+07,103 689.86 ,2.5,,,,,,,,,,,,,
316.5878,2.89E+06,112 197.17 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,5.69E+05,112 197.17 ,1.5,,,,,,,,,,,,,
316.8951,3.43E+06,112 197.05 ,2.5,,,,,,,,,,,,,
317.2706,3.41E+06,112 129.20 ,0.5,,,,,,,,,,,,,
317.5783,6.81E+06,112 129.20 ,0.5,,,,,,,,,,,,,
353.4972,5.80E+06,108 900.20 ,1.5,,,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,,,
 ,1.15E+06,108 900.20 ,1.5,,,,,,,,,,,,,
353.8813,6.90E+06,108 900.02 ,2.5,,,,,,,,,,,,,
354.9516,5.64E+06,108 784.33 ,0.5,,,,,,,,,,,,,
355.3366,1.12E+07,108 784.33 ,0.5,,,,,,,,,,,,,
